ltable_Song_Name,rtable_Song_Name,ltable_Artist_Name,rtable_Artist_Name,ltable_Album_Name,rtable_Album_Name,ltable_Genre,rtable_Genre,ltable_Price,rtable_Price,ltable_CopyRight,rtable_CopyRight,ltable_Time,rtable_Time,ltable_Released,rtable_Released
Masterpiece ( feat . Jordan Rakei ),Willing & Able [ feat . Kwabs ],Disclosure,Disclosure,Caracal,Caracal ( Deluxe ),"Electronic , Music , Dance , Garage , House , Rock","Electronica , Dance & Electronic",Album Only,$1.29 ,"2015 Island Records , a division of Universal Music Operations Limited","( C ) 2015 Island Records , a division of Universal Music Operations Limited",04:01,04:52,,25-Sep-15
Remember You ( feat . The Weeknd ),Hope ( feat . Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,05:20,05:24,4-Dec-12,19-Aug-14
Remember You ( feat . The Weeknd ),The Bluff ( feat . Cam ` Ron ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,03:48,4-Dec-12,4-Dec-12
"Piensas en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ]",Piensas en M_ _ ( Remix ),Nicky Jam,Nicky Jam,Nicky Jam Hits,Nicky Jam Hits,"Latin Urban , Music , Latino","International , Latin Music",$0.99 ,$0.99 ,2014 La Industria Inc. . Licencia a Codiscos S.A.S.,( C ) 2014 Codiscos S.A.S.,04:46,04:46,9-Sep-14,9-Sep-14
Baby ( Bonus Video ),Baby ( Acoustic Version ),Justin Bieber,Justin Bieber,My World 2.0 ( Bonus Track Version ),My Worlds Acoustic [ + Video ] [ + Digital Booklet ],"Pop , Music , Teen Pop , Rock , Dance , R&B / Soul , Contemporary R&B",Pop,$1.99 ,$1.29 ,_ ã_ 2010 The Island Def Jam Music Group,( C ) 2011 The Island Def Jam Music Group,03:39,03:35,23-Mar-10,8-Feb-11
Sorry for Party Rocking,Party Rock Anthem ( Made Famous By Lmfao Feat Lauren Bennett & Goon Rock ) ( Karaoke Version ),LMFAO,Lmfao Feat Lauren Bennett & Goon Rock Karaoke Band,Sorry for Party Rocking ( Deluxe Version ),Party rock anthem ( Karaoke ),"Pop , Music , R&B / Soul,Electronic,Dance,Rock,Hip-Hop / Rap , Rap",International,$1.29 ,$0.89 ,"_ ã_ 2011 Foo & Blu , LLC under exclusive License to Interscope Records",( c ) 2011 BGM Industrias del Disco S.A. ( Magenta Discos ),03:23,04:24,21-Jun-11,14-Jul-11
Centuries ( Gazzo Remix ),Busy ( N3mrod Remix ) [ feat . Kevin Lyttle ] [ Explicit ],Fall Out Boy,Boy Face,Centuries ( Gazzo Remix ) - Single,Busy ( N3mrod Remix ) [ feat . Kevin Lyttle ] [ Explicit ],"Alternative , Music , Rock",Dance & Electronic,$1.29 ,$0.99 ,"2014 Island Records , a division of UMG Recordings , Inc.",2015 Perpetual Motions Ent . / F Pac Records/FROGG LIFE,04:19,02:32,22-Dec-14,10-Apr-15
Speakers,Speakers,Sam Hunt,Sam Hunt,Montevallo,Montevallo,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",Country,$1.29 ,$1.29 ,"2014 MCA Nashville , a Division of UMG Recordings , Inc.","( C ) 2014 MCA Nashville , a Division of UMG Recordings , Inc.",03:46,03:48,27-Oct-14,27-Oct-14
Cameras,Cameras [ Clean ],Wiz Khalifa,Wiz Khalifa,Rolling Papers,Rolling Papers ( Deluxe ) [ + Video ] [ + Digital Booklet ],"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",Rap & Hip-Hop,$1.29 ,$1.29 ,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,04:29,04:29,28-Mar-11,28-Mar-11
Masterpiece ( feat . Jordan Rakei ),Magnets [ feat . Lorde ],Disclosure,Disclosure,Caracal,Caracal,"Electronic , Music , Dance , Garage , House , Rock","Electronica , Dance & Electronic",Album Only,$1.29 ,"2015 Island Records , a division of Universal Music Operations Limited","( C ) 2015 Island Records , a division of Universal Music Operations Limited",04:01,03:19,,25-Sep-15
Ca n't Stop Now ( feat . Jovi Rockwell and Mr. Vegas ),Cash Flow [ feat . Jah Dan ],Major Lazer,Major Lazer,Guns Do n't Kill People ... Lazers Do,Guns Do n't Kill People ... Lazers Do ( Deluxe ) [ Explicit ],"Electronic,Music,Hip-Hop / Rap , Rap , Alternative , Reggae , Dance , Modern Dancehall , Rock","Electronica , Dance & Electronic",$1.29 ,$1.29 ,"_ ã_ 2009 Downtown Music , LLC .","( C ) 2009 Downtown Music , LLC .",04:03,04:06,2009,3-Jun-15
Ca n't Stop Now ( feat . Jovi Rockwell and Mr. Vegas ),Hold The Line [ feat . Santigold ] [ Explicit ],Major Lazer,Major Lazer,Guns Do n't Kill People ... Lazers Do,Guns Do n't Kill People ... Lazers Do ( Deluxe ) [ Explicit ],"Electronic,Music,Hip-Hop / Rap , Rap , Alternative , Reggae , Dance , Modern Dancehall , Rock","Electronica , Dance & Electronic",$1.29 ,$1.29 ,"_ ã_ 2009 Downtown Music , LLC .","( C ) 2009 Downtown Music , LLC .",04:03,03:39,2009,3-Jun-15
Rock N ' Roll ( Will Take You to the Mountain ),All I Ask Of You ( Feat . Penny ),Skrillex,Skrillex,More Monsters and Sprites,Scary Monsters And Nice Sprites EP [ Explicit ],"Dance , Music , House , Rock , Electronic","Electronica , Dance & Electronic , Dubstep",$1.99 ,$1.29 ,"2011 Big Beat Records , Inc. for the United States and WEA International for the world outside the United States .",( c ) 2013 Digitop Ltd,04:34,05:40,21-Jun-11,21-Dec-10
Titanium ( Cazzette 's Ant Seeking Hamster Mix ) [ feat . Sia ],Yao Ming ( feat . Wayne & 2 Chainz ) [ Explicit ],David Guetta,David Banner,Titanium ( Remixes ) [ feat . Sia ],Yao Ming ( feat . Wayne & 2 Chainz ) [ Explicit ],"Dance , Music , Electronic",Rap & Hip-Hop,$0.99 ,$0.99 ,"2011 What A Music Ltd , licence exclusive Parlophone Music France",2013 b.i.G. f.a.c.e. Ent,06:37,03:47,20-Jan-12,20-Dec-11
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ],David Guetta,David Guetta,One Love ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music",Dance & Electronic,$1.29 ,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,2015 If Moving Your Mine,02:51,03:20,21-Aug-09,24-Nov-14
"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Extended ]",Hey Mama ( Zia Moz Remix ),David Guetta,"Zia Moz feat . David Guetta , Bebe Rexha , Nicki Minaj and Afrojack","Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Remixes ] - EP",Hey Mama,"Dance , Music",Dance & Electronic,$1.29 ,$0.99 ,"2015 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States","2015 Zia Moz , David Guetta , Onika Maraj , Giorgio Tuinfort , Nick van de Wall , Ester Dean , Bebe Rexha , Sean Douglas",04:42,03:12,12-May-15,1-Jun-15
6PM In New York,6PM In New York [ Explicit ],Drake,Drake,If You 're Reading This It 's Too Late,If You 're Reading This It 's Too Late [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",Rap & Hip-Hop,$1.29 ,$1.29 ,2015 Cash Money Records Inc.,( C ) 2015 Cash Money Records Inc.,04:43,04:43,13-Feb-15,13-Feb-15
Chevy Van,Chevy Van,Eric Church,Eric Church,Caldwell County - EP,Caldwell County EP,"Country , Music , Contemporary Country",Country,$1.29 ,$1.29 ,"2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",( C ) 2011 EMI Records Nashville,02:48,02:48,14-Jan-11,14-Jan-11
Delirious ( feat . Tara McDonald ),One Love ( Feat . Estelle ),David Guetta,David Guetta,Pop Life ( Extended Version ) [ Bonus Version ],One Love ( Deluxe Version ),"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Dance & Electronic,$1.29 ,$1.29 ,_ ã_ 2007 Gum Records,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,04:31,04:01,18-Sep-07,21-Aug-09
If I Am a Stranger ( Live In Amsterdam ),The Rescue Blues ( Live in London 1 ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock","Folk , Rock",$0.99 ,$0.99 ,2012 PAXAM RECORDS,2012 PAXAM RECORDS,05:10,03:25,2-Jul-12,2-Jul-12
If I Am a Stranger ( Live In Amsterdam ),Do I Wait ( Live in Lisbon Bonus Track ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),"Singer/Songwriter , Music , Rock","Folk , Rock",$0.99 ,$0.99 ,2012 PAXAM RECORDS,2012 PAXAM RECORDS,05:10,05:08,2-Jul-12,2-Jul-12
If I Am a Stranger ( Live In Amsterdam ),September ( Live in Stockholm ),Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Stockholm ),"Singer/Songwriter , Music , Rock","Folk , Rock",$0.99 ,$0.99 ,2012 PAXAM RECORDS,2012 PAXAM RECORDS,05:10,02:43,2-Jul-12,2-Jul-12
Remember You ( feat . The Weeknd ),Bluffin ( feat . Berner ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,05:32,4-Dec-12,4-Dec-12
That Ai n't Me ( feat . Jay Sean ),Love Me ( Album Version ( Explicit ) ) [ feat . Drake ] [ Explicit ],Lil Wayne & Jay Sean,Lil Wayne,I Am Not a Human Being,I Am Not A Human Being II ( Explicit Version ) [ + digital booklet ],"Hip-Hop/Rap , Music , Rap , Hardcore Rap , Dirty South",Rap & Hip-Hop,$1.29 ,$1.29 ,_ ã_ 2010 Cash Money Records Inc.,2005 Secretly Canadian,04:02,04:15,15-Nov-10,26-Mar-13
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ],Phone Tap ( Album Version ( Explicit ) ) [ Explicit ],David Guetta,David Banner,One Love ( Deluxe Version ),Mississippi-The Album ( Explicit Version ),"Dance , Music",Pop,$1.29 ,$0.69 ,2010 Gum Prod licence exclusive Parlophone Music France,"( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",02:51,01:52,21-Aug-09,20-May-03
Remember You ( feat . The Weeknd ),The Plan ( feat . Juicy J ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,04:54,4-Dec-12,4-Dec-12
Remember You ( feat . The Weeknd ),The Bluff ( feat . Cam ` Ron ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,03:48,4-Dec-12,4-Dec-12
Voices ( feat . Sasha Keable ),Help Me Lose My Mind [ feat . London Grammar ],Disclosure,Disclosure,Settle ( Deluxe Version ),Settle,"Electronic , Music","Electronica , Dance & Electronic",$1.29 ,$1.29 ,"_ ã_ 2014 Universal Island Records , a division of Universal Music Operations Limited","( C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",04:09,04:05,15-Apr-14,11-Jun-13
Space Bound,Space Bound [ Explicit ],Eminem,Eminem,Recovery ( Deluxe Edition ),Recovery ( Amazon Version ) [ Explicit ] [ + video ] [ + digital booklet ],"Hip-Hop/Rap , Music , Rock , Hardcore Rap , Rap","Gangsta & Hardcore , Rap & Hip-Hop",$1.29 ,$1.29 ,_ ã_ 2010 Aftermath Records,( C ) 2010 Aftermath Records,04:38,04:39,21-Jun-10,21-Jun-10
We Dem Boyz,We Dem Boyz [ Explicit ],Wiz Khalifa,Wiz Khalifa,Blacc Hollywood ( Deluxe Version ),Blacc Hollywood [ Explicit ],"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",Rap & Hip-Hop,$1.99 ,$1.29 ,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,03:56,03:45,19-Aug-14,19-Aug-14
Whateva ( feat . Monty ),How We Do Things ( feat . Monty ) [ Explicit ],Fetty Wap,Fetty Wap,Fetty Wap ( Deluxe ),Fetty Wap [ Explicit ],"Hip-Hop/Rap , Music , Rap",Rap & Hip-Hop,Album Only,$1.29 ,2015 300 Entertainment/RGF Productions,"( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",05:11,03:31,,25-Sep-15
VHS Outro ( Interlude ),Adam & Noah 's Priorities ( Interlude ),X Ambassadors,X Ambassadors,VHS,VHS [ Explicit ],"Alternative , Music , Rock , Adult Alternative",Alternative Rock,$1.29 ,$1.29 ,2015 KIDinaKORNER/Interscope Records,( C ) 2015 KIDinaKORNER/Interscope Records,01:25,00:27,30-Jun-15,30-Jun-15
True Colors ( feat . Nicki Minaj ),So High ( feat . Ghost Loft ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,Blacc Hollywood,Blacc Hollywood [ Explicit ],"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",Rap & Hip-Hop,$1.29 ,$1.29 ,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,04:09,19-Aug-14,19-Aug-14
Defeated No More ( feat . Edward Macfarlane ),Magnets [ feat . Lorde ],Disclosure,Disclosure,Settle ( Deluxe Version ),Caracal ( Deluxe ),"Electronic , Music","Electronica , Dance & Electronic",$1.29 ,$1.29 ,"_ ã_ 2014 Universal Island Records , a division of Universal Music Operations Limited","( C ) 2015 Island Records , a division of Universal Music Operations Limited",06:07,03:19,15-Apr-14,25-Sep-15
G.U.Y.,G.U.Y. [ Clean ],Lady Gaga,Lady Gaga,ARTPOP,Artpop [ Clean ],"Pop , Music , Dance , Rock",Pop,$1.29 ,$1.29 ,_ ã_ 2013 Interscope Records,( C ) 2013 Interscope Records,03:52,03:52,11-Nov-13,11-Nov-13
"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh )",Simple Man [ Acoustic ],Shinedown,Shinedown,Leave a Whisper ( Deluxe Version ),Leave A Whisper ( Deluxe ),"Rock , Music , Hard Rock , Alternative",Rock,$1.29 ,$1.29 ,2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States,2015 Mad Decent,03:59,05:20,27-May-03,27-May-03
Applause ( Goldhouse Remix ),Applause ( Empire Of The Sun Remix ),Lady Gaga,Lady Gaga,Applause ( Remixes ),Applause ( Remixes ),"Pop , Music , Electronic , Rock",Pop,$1.29 ,$1.29 ,2013 Interscope Records,( C ) 2013 Interscope Records,04:34,04:08,30-Sep-13,30-Sep-13
Tackle Box,Tackle Box,Luke Bryan,Luke Bryan,I 'll Stay Me,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",Country,$1.29 ,$1.29 ,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",04:02,04:02,14-Aug-07,14-Aug-07
Tackle Box,Tackle Box,Luke Bryan,Luke Bryan,I 'll Stay Me,I 'll Stay Me,"Country , Music , Contemporary Country , Pop",Country,$1.29 ,$1.29 ,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203","( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",04:02,04:02,14-Aug-07,14-Aug-07
Because of You,The Fear Of Being Alone ( Album Version ),Kelly Clarkson & Reba McEntire,Reba McEntire,Reba Duets,Reba # 1 's,"Country , Music , Honky Tonk , Contemporary Country","Country , Contemporary Country",$1.99 ,$1.29 ,"_ ã_ 2007 MCA Nashville , a Division of UMG Recordings , Inc.","( C ) 2005 MCA Nashville , a Division of UMG Recordings , Inc.",03:42,03:02,18-Sep-07,22-Nov-05
Remember You ( feat . The Weeknd ),House In The Hills ( feat . Curren $ y ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,05:20,04:52,4-Dec-12,19-Aug-14
X2CU,X2CU,Jason Derulo,Jason Derulo,Everything Is 4,Everything Is 4 [ Clean ],"Pop , Music , Rock , Dance , R&B / Soul , Contemporary R&B",Pop,$1.29 ,$1.29 ,2015 Warner Bros. . Records Inc.,2011 Because Music,05:13,05:14,29-May-15,1-Jun-15
Original Don ( feat . The Partysquad ) [ The Partysquad & Punish Smash Em Remix ],Powerful ( Michael Calfan Remix ) [ feat . Ellie Goulding ],Major Lazer,Major Lazer,Original Don ( feat . The Partysquad ) [ Remixes ] - EP,Powerful ( Remixes ),"Electronic , Music , Dance","Electronica , Dance & Electronic",$1.29 ,$1.29 ,2011 Downtown Records Unders exclusive license to Interscope Records in the U.S.A.,"( C ) 2015 Third Pardee Records , LLC under exclusive license to Interscope Records in the United States",03:38,05:27,1-Nov-11,11-Sep-15
I Thought You Knew,I Thought You Knew,Keith Urban,Keith Urban,Keith Urban,Keith Urban,"Country , Music , Honky Tonk , Contemporary Country",Country,$1.29 ,$1.29 ,1999 Capitol Records Nashville,( C ) 1999 Capitol Records Nashville,03:51,03:51,19-Oct-99,19-Oct-99
Get Your S ** t,You And Your Friends ( feat . Snoop Dogg & Ty Dolla $ ign ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,Rolling Papers ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.29 ,$1.29 ,_ ã_ 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:36,03:06,28-Mar-11,19-Aug-14
Kill Everybody ( Bare Noize Remix ),Kill Everybody,Skrillex,Skrillex,Scary Monsters and Nice Sprites,Scary Monsters And Nice Sprites EP [ Explicit ],"Dance , Music , House , Electronic","Electronica , Dance & Electronic , Dubstep",$1.29 ,$1.29 ,"2010 Big Beat Records , Inc. for the United States and WEA International for the world outside the United States .",( c ) 2013 Digitop Ltd,04:41,04:58,21-Dec-10,21-Dec-10
Love Song,Love Song,P!NK,P!nk,Try This,Try This [ Explicit ],"Pop , Music , Teen Pop , Electronic , Pop/Rock , R&B / Soul , Dance",Pop,$0.99 ,$0.99 ,"2003 Arista Records , Inc.",CWM records,02:28,02:27,10-Nov-03,11-Nov-03
Extra Extra Credit,Extra Extra Credit [ Explicit ],Wiz Khalifa,Wiz Khalifa,Flight School,Flight School [ Explicit ],"Hip-Hop/Rap , Music",Rap & Hip-Hop,$0.99 ,$0.99 ,2009 Rostrum Records,2013 Mad Decent,04:03,04:03,17-Apr-09,17-Apr-09
Voy a Beber ( feat . ' _ ejo ) [ Remix ],Voy a Beber ( Remix ),Nicky Jam,Nicky Jam,"Greatest Hits , Vol . 1","Greatest Hits , Vol . 1","Latin Urban , Music , Latino","International , Latin Music",$0.99 ,$0.99 ,2014 La Industria Inc licencia a Codiscos S.A.S.,( C ) 2014 La industria Inc,03:44,03:44,4-Nov-14,4-Nov-14
Remember You ( feat . The Weeknd ),The Bluff ( feat . Cam ` Ron ) [ Clean ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Clean ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,03:48,4-Dec-12,4-Dec-12
Remember You ( feat . The Weeknd ),So High ( feat . Ghost Loft ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,05:20,04:09,4-Dec-12,19-Aug-14
The Back Roads and the Back Row,The Back Roads & The Back Row,Cole Swindell,Cole Swindell,Cole Swindell,Cole Swindell,"Country , Music , Contemporary Country",Country,$1.29 ,$1.29 ,2014 Warner Music Nashville LLC and WEA International Inc. for the world outside the U.S.,"( C ) 2011 UMG Recordings , Inc.",03:41,03:44,18-Feb-14,18-Feb-14
VHS Outro ( Interlude ),Moving Day ( Interlude ),X Ambassadors,X Ambassadors,VHS,VHS [ Clean ],"Alternative , Music , Rock , Adult Alternative",Alternative Rock,$1.29 ,$1.29 ,2015 KIDinaKORNER/Interscope Records,( C ) 2015 KIDinaKORNER/Interscope Records,01:25,00:19,30-Jun-15,30-Jun-15
VHS Outro ( Interlude ),Moving Day ( Interlude ),X Ambassadors,X Ambassadors,VHS,VHS [ Clean ],"Alternative , Music , Rock , Adult Alternative",Alternative Rock,$1.29 ,$1.29 ,2015 KIDinaKORNER/Interscope Records,( C ) 2015 KIDinaKORNER/Interscope Records,01:25,00:19,30-Jun-15,30-Jun-15
VHS Outro ( Interlude ),VHS Outro ( Interlude ) [ Explicit ],X Ambassadors,X Ambassadors,VHS,VHS [ Explicit ],"Alternative , Music , Rock , Adult Alternative",Alternative Rock,$1.29 ,$1.29 ,2015 KIDinaKORNER/Interscope Records,( C ) 2015 KIDinaKORNER/Interscope Records,01:25,01:25,30-Jun-15,30-Jun-15
VHS Outro ( Interlude ),VHS Outro ( Interlude ) [ Explicit ],X Ambassadors,X Ambassadors,VHS,VHS [ Explicit ],"Alternative , Music , Rock , Adult Alternative",Alternative Rock,$1.29 ,$1.29 ,2015 KIDinaKORNER/Interscope Records,( C ) 2015 KIDinaKORNER/Interscope Records,01:25,01:25,30-Jun-15,30-Jun-15
Die in Your Arms,Die In Your Arms ( Album Version ),Justin Bieber,Justin Bieber,Believe ( Deluxe Edition ),Believe,"Pop , Music",Pop,$1.29 ,$1.29 ,_ ã_ 2012 The Island Def Jam Music Group,( C ) 2012 The Island Def Jam Music Group,03:57,03:57,19-Jun-12,19-Jun-12
Remember You ( feat . The Weeknd ),House In The Hills ( feat . Curren $ y ) [ Explicit ],Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,05:20,04:52,4-Dec-12,19-Aug-14
Remember You ( feat . The Weeknd ),"Rise Above ( feat . Pharrell , Tuki Carter & Amber Rose ) [ Explicit ]",Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,04:31,4-Dec-12,4-Dec-12
Remember You ( feat . The Weeknd ),"Rise Above ( feat . Pharrell , Tuki Carter & Amber Rose ) [ Explicit ]",Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,04:31,4-Dec-12,4-Dec-12
Backwoods Beauty Queen,Backwoods Beauty Queen,Florida Georgia Line,Florida Georgia Line,Anything Like Me - EP,Anything Like Me,"Country , Music , Honky Tonk , Urban Cowboy , Contemporary Country",Country,$0.99 ,$0.99 ,2011 Florida Georgia Line,2011 Florida Georgia Line,04:15,04:15,14-Dec-10,14-Dec-10
VHS Outro ( Interlude ),Moving Day ( Interlude ),X Ambassadors,X Ambassadors,VHS,VHS [ Explicit ],"Alternative , Music , Rock , Adult Alternative",Alternative Rock,$1.29 ,$1.29 ,2015 KIDinaKORNER/Interscope Records,( C ) 2015 KIDinaKORNER/Interscope Records,01:25,00:19,30-Jun-15,30-Jun-15
