ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
influence sets based on reverse nearest neighbor queries,aggregate nearest neighbor queries in spatial databases,f korn;s muthukrishnan,d papadias;y tao;k mouratidis;ck hui,sigmod conference,acm transactions on database systems,2000,2005
probabilistic optimization of top n queries,optimization and evaluation of array queries,d donjerkovic;r ramakrishnan,r ritsch;p baumann,vldb,submitted for publication,1999,1997.6
formal query languages for secure relational databases,hierarchical schemata for relational databases,m winslett;k smith;x qian,ye lien,acm trans . database syst .,acm transactions on database systems ( tods ),1994,1981
report on the fourth international conference on flexible query answering systems,the trec-8 question answering system track;in the proceedings of second international conference on,,em vorhees;dm tice,,lrec-2000 athens;greece,2001,1997.6
the pyramid-technique : towards breaking the curse of dimensionality,the pyramid-technique : towards breaking the curse of dimensionality,s berchtold;c bÑ–hm;h kriegel,s berchtold;hp kriegel,sigmod conference,sigmod record,1998,1998
fast algorithms for maintaining replica consistency in lazy master replicated databases,algorithms for mining distance based outliers in large databases,e pacitti;p minet;e simon,e knorr;r ng,vldb,proceedings of vldb;new york,1999,1997.6
fine-grained sharing in a page server oodbms,fine-grained sharing in a page server oodbms,m carey;m franklin;m zaharioudakis,mj carey;mj franklin;m zaharioudakis,sigmod conference,proceedings of the 1994 acm sigmod international conference & hellip,1994,1994
java support for data-intensive systems : experiences building the telegraph dataflow system,java support for data-intensive systems : experiences building the telegraph dataflow system,m shah;s madden;m franklin;j hellerstein,ma shah;jm hellerstein,sigmod record,sigmod record,2001,2001
optimization of dynamic query evaluation plans,optimization of query evaluation algorithms,r cole;g graefe,sb yao,sigmod conference,acm transactions on database systems,1994,1979
parallel mining algorithms for generalized association rules with classification hierarchy,fast algorithms for mining association rules,t shintani;m kitsuregawa,d xin;j han;x li;b wah,sigmod conference,proc . int . conf . on very large databases ( vldb ),1998,1997.6
two techniques for on-line index modification in shared nothing parallel databases,dynamic data reallocation for skew management in shared-nothing parallel databases,k achyutuni;e omiecinski;s navathe,a helal;d yuan;h el-rewini,sigmod conference,distributed and parallel databases,1996,1997
answering complex sql queries using automatic summary tables,answering complex sql queries using summary tables,m zaharioudakis;r cochrane;g lapis;h pirahesh;m urata,m zaharioudakis;r cochrane;h pirahesh;g lapis,sigmod conference,,2000,1997.6
automating physical database design in a parallel database,physical database design for relational databases,j rao;c zhang;n megiddo;g lohman,s finkelstein;m schkolnick;p tiberio,sigmod conference,acm transactions on database systems,2002,1988
the design and implementation of a sequence database system,the design and implementation of the ariel active database rule system,p seshadri;m livny;r ramakrishnan,en hanson,vldb,,1996,1997.6
multigranularity locking in multiple job classes transaction processing system,adaptive load control in transaction processing systems,s ng;s hung,hu heiss;r wagner,sigmod record,vldb,1995,1991
foundations of preferences in database systems,foundations of preferences in database systems,w kieÐ¿ling,w kieÃ® Â² ling,vldb,proc . of the intl. conf . on very large data bases,2002,1997.6
the glue-nail deductive database system : design;implementation;and evaluation,design and implcmmtation of the glue-nail database system,m derr;s morishita;g phipps,ma dcrr;s morishita;g phipps,vldb j.,proc . f & l3 acm sigmod in . conf . mnnngement of dnln;& hellip,1994,1997.6
information management challenges from the aerospace industry,information management directions : the integration challenge,s sripada,en fong;ah goldfine,vldb,acm sigmod record,2002,1989
distributed query evaluation on semistructured data,query optimizationfor semistructured data,d suciu,jmhj widom,acm trans . database syst .,technical report;stanford university database group;november,2002,1997.6
a performance study of transitive closure algorithms,transitive closure algorithm memtc and its performance analysis,s dar;r ramakrishnan,v hirvisalo;e nuutila;e soisalon-soininen,sigmod conference,,1994,1997.6
improving timeliness in real-time secure database systems,an adaptive policy for improved timeliness in secure database systems,s son;r david;b thuraisingham,sh son;r david;bm thuraisingham,sigmod record,,1996,1997.6
secure transaction processing in firm real-time database systems,query processing in a distributed relational database system,b george;j haritsa,r epstein;m stonebraker;e wong,sigmod conference,proceedings of the acm sigmod conference on management of & hellip,1997,1997.6
semantic integration in heterogeneous databases using neural networks,querying heterogeneous sequence databases in computer networks,w li;c clifton,l tuomimaki,vldb,msc thesis;department of computer science;university of,1994,1997.6
query unnesting in object-oriented databases,the o 2 object-oriented database system,l fegaras,f bancilhon,sigmod conference,proceedings of the 1992 acm sigmod-international conference,1998,1997.6
state of the art in workflow management research and products,tutorial : state of the art in workflow management system research and products,,c mohan,,5th international conference on extending database & hellip,1996,1996
the mlpq/gis constraint database system,integrity constraints in multidatabase systems,p revesz;r chen;p kanjamala;y li;y liu;y wang,rhdkm wong,sigmod conference,,2000,1997.6
the ecrc multi database system,mpeg-7 and multimedia database systems,w jonker;h schÑœtz,h kosch,sigmod conference,sigmod record,1995,2002
spartan : a model-based semantic compression system for massive data tables,Ã¢ ?? sim : a database system based on semantic model .,s babu;m garofalakis;r rastogi,d jagannathan;rl guck;bl fritchman;jp thompson,sigmod conference,proceedings of sigmod international conference on management,2001,1997.6
cost-based optimization for magic : algebra and implementation,cost-based optimization for magic : algebra and implementation,p seshadri;j hellerstein;h pirahesh;t leung;r ramakrishnan;d srivastava;p stuckey;s sudarshan,p seshadri;jm hellerstein;h pirahesh;tyc leung,sigmod conference,sigmod conference,1996,1996
editor ¡¯s notes,editor ¡¯s notes,m franklin,r goldstein,sigmod record,the american statistician,2000,1996
constructing the next 100 database management systems,a study of index structures for main memory database management systems,a geppert;k dittrich,tjlmj carey,sigmod record,proceedings of the 12th vldb,1994,1997.6
time-parameterized queries in spatio-temporal databases,topological queries in spatial databases,y tao;d papadias,ch papadimitriou,sigmod conference,,2002,1997.6
editor ¡¯s notes,editor ¡¯s notes,m franklin,r goldstein,sigmod record,the american statistician,1998,1996
the araneus web-base management system,et . ai.;¡¯¡¯ the cedar database management system;¡¯¡¯,g mecca;p atzeni;a masci;p merialdo;g sindoni,m brown,sigmod conference,proc . 1981 acm-sigmod conference on management of data;ann & hellip,1998,1997.6
declustering databases on heterogeneous disk systems,graphical interaction with heterogeneous databases,l chen;d rotem;s seshadri,t catarci;g santucci;j cardiff,vldb,the vldb journal the international journal on very large & hellip,1995,1997
open object database management systems,a database management system for the federal courts,,jr buchanan;rd fennell;h samet,,acm transactions on database systems,1994,1984
foundations of preferences in database systems,special section on advances in realtime database systems,w kieÐ¿ling,a bestavros,vldb,sigmod record,2002,1997.6
research issues for data communication in mobile ad-hoc network database systems,research issues in database specification,l fife;l gruenwald,ml brodie,sigmod record,sigmod record,2003,1983
supporting efficient multimedia database exploration,networked multimedia event exploration,w li;k candan;k hirata;y hara,p appan;h sundaram,vldb j.,proceedings of the 12th annual acm international conference & hellip,2001,2004
timber : a native xml database,timber : a native system for querying xml,h jagadish;s al-khalifa;a chapman;l lakshmanan;a nierman;s paparizos;j patel;d srivastava;n wiwatwattana;y wu;c yu,s paparizos,vldb j.,proceedings of the 2003 acm sigmod international conference & hellip,2002,2003
watermarking relational databases,set-oriented production rules in relational databases,r agrawal;j kiernan,j widom;s finkelstein,vldb,proc . of the acm sigmod conference on management of data,2002,1997.6
fast algorithms for mining association rules in large databases,mining fuzzy implication-based association rules in quantitative databases [ a ],r agrawal;r srikant,gq chen;p yan;ee kerre,vldb,proceedings of flins2002belgium : world scientific,1994,1997.6
index configuration in object-oriented databases,integration of external object services into deductive object-oriented database,e bertino,u kulkarni,vldb j.,,1994,2000
irisnet : an architecture for internet-scale sensing services,raims : an architecture for router-assisted internet multicast services .,s nath;a deshpande;y ke;p gibbons;b karp;s seshan,c papadopoulos,vldb,eth;zurich;switzerland;october,2003,1997.6
scalable parallel data mining for association rules,sampling large databases for finding association rules,e han;g karypis;v kumar,h toivonen,sigmod conference,proceedings of the 22nd international conference on very & hellip,1997,1997.6
applying an update method to a set of receivers,applying an update method to a set of receivers,m andries;l cabibbo;j paredaens;j bussche,m andries;l cabibbo;j paredaens;j van den,acm trans . database syst .,acm transactions on database systems,2001,2001
semantic caching of web queries,semantic queries withpictures,b chidlovskii;u borghoff,wt guptaa;r jain,vldb j.,proceedings of the 17thinternationalconference of vldb,2000,1997.6
smooth - a distributed multimedia database system,data allocation in distributed database systems,h kosch;l bÑ–szÑ–rmÑ‰nyi;a bachlechner;c hanin;c hofbauer;m lang;c riedler;r tusch,pmg apers,vldb,acm transactions on database,2001,1988
applying database visualization to the world wide web,dynamic distributed environment for data visualization on the world wide web,m hasan;a mendelzon;d vista,w lefer;jm pierson,sigmod record,,1996,1997.6
a transducer-based xml query processor,xml query processing,b ludÑ„scher;p mukhopadhyay;y papakonstantinou,d florescu;d kossmann,vldb,data engineering;2004 . proceedings . 20th international,2002,1997.6
communication efficient distributed mining of association rules,using unknowns to prevent discovery of association rules,a schuster;r wolff,y saygin;vs verykios;c clifton,sigmod conference,acm sigmod record,2001,2001
fast algorithms for mining association rules in large databases,scalable parallel data mining for association rules,r agrawal;r srikant,h eui-hong;g karypis,vldb,ieee transactions on knowledge and data engineering,1994,1997.6
vice chair ¡¯s message,needha chair ¡¯s message,,m hagler,,ieee edsoc/asee ee div . ¡¯¡¯ newsletter ¡¯¡¯;spring,1999,1997.6
querying multiple features of groups in relational databases,jd the theory of joins in relational databases,d chatziantoniou;k ross,av aho;c beam;n ull,vldb,acm trans . database syst,1996,1997.6
editor ¡¯s notes,editor ¡¯s notes,l liu,wmk trochim,sigmod record,new directions for program evaluation,2003,1997.6
sequence query processing,approximate query processing using wavelets,p seshadri;m livny;r ramakrishnan,k chakrabarti;m garofalakis;r rastogi;k shim,sigmod conference,the vldb journal the international journal on very large & hellip,1994,2001
open object database management systems,tigukat : a uniform behavioral objectbase management system .,,rj peters,,,1994,1996
evaluating queries with generalized path expressions,optimization and evaluation of generalized top queries,v christophides;s cluet;g moerkotte,p ciaccia;r cornacchia;a ghidini,sigmod conference,,1996,1997.6
storage and retrieval of xml data using relational databases,watermarking relational databases,,r sion;m atallah;s prabhakarl,,i ndiana : the center for education and research in information,2001,1997.6
the design and implementation of a sequence database system,some analytic tools for the design of relational database systems,p seshadri;m livny;r ramakrishnan,kk nambiar,vldb,vldb,1996,1997.6
efficient algorithms for mining outliers from large data sets,efficient algorithms for the inference of minimum size dfas,s ramaswamy;r rastogi;k shim,al oliveira;jpm silva,sigmod conference,machine learning,2000,2001
resource scheduling for composite multimedia objects,workforce scheduling with multiple objectives,m garofalakis;y ioannidis;b Ð¶zden,i castillo;t joro;y li,vldb,,1998,2003
storage and retrieval of xml data using relational databases,information storage and retrieval using avl trees,,cc foster,,proc . acm 20th nat . conf,2001,1997.6
toward autonomic computing with db2 universal database,toward autonomic computing with db2 universal database,s lightstone;g lohman;d zilio,d zilio;ibm canada,sigmod record,sigmod record,2002,2002
infering structure in semistructured data,semistructured and structured data in the web : going back and forth,s nestorov;s abiteboul;r motwani,p merialdo;p atzeni;g mecca,sigmod record,& hellip the management of semistructured data ( in conjunction with & hellip,1997,1997.6
coloring away communication in parallel query optimization,query scheduling and optimization in parallel and multimedia databases,w hasan;r motwani,mn garofalakis,vldb,,1995,1998
influencing database language standards,influencing database language standards,l gallagher,l gallagher,sigmod record,sigmod record,1994,1994
adaptive selectivity estimation using query feedback,adaptive software testing with fixed-memory feedback,c chen;n roussopoulos,ky cai;b gu;h hai;yc li,sigmod conference,submitted for publication,1994,1997.6
optimization of dynamic query evaluation plans,dynamically distributed query evaluation,r cole;g graefe,j trevor;d suciu,sigmod conference,proceedings of the twentieth acm sigmod-sigact-sigart,1994,1997.6
integrating a structured-text retrieval system with an object-oriented database system,spatial query processmg m an object-oriented database system,t yan;j annevelink,ja orenstem,vldb,proc acm sigmod intÃ¢ ?? l conf on the management of data,1994,1997.6
the persistent cache : improving oid indexing in temporal object-oriented database systems,effective clustering of complex data in object-oriented database systems,k nÑ˜rvÑ…g,j cheng;ar hurson,vldb,proceedings acm sigmod;pages,1999,1997.6
minicon : a scalable algorithm for answering queries using views,answering queries using views,r pottinger;a halevy,m vines,vldb j.,vldb journal,2001,2001
algorithms for materialized view design in data warehousing environment,fast computation of sparse databases algorithms for materialized view design in data warehousing,j yang;k karlapalem;q li,j yang;kk karlapalem;q li,vldb,proc . 23rd vldb conf.;athens;greece,1997,1997.6
secure buffering in firm real-time database systems,issues and approaches to design of real-time database systems,b george;j haritsa,m singhal,vldb,sigmod record,1998,1988
object-oriented;rapid application development in a pc database environment,oms rapid prototyping system for the development of object-oriented database application systems,f team,m norrie;a wurgler,sigmod conference,,1995,1997.6
query processing techniques for arrays,query processingfor distance metrics,a marathe;k salem,tl wang;d shasha,sigmod conference,proc . of 16th vldb,1999,1997.6
storage and retrieval of xml data using relational databases,missing information ( applicable and inapplicable ) in relational databases,,ef codd,,acm sigmod record,2001,1986
constraints for semi-structured data and xml,query rewriting for semistructured data,p buneman;w fan;j simÑ‰on;s weinstein,v vassalos,sigmod record,,2001,1999
outlier detection for high dimensional data,the x-tree : an index structure for high dimensional data,c aggarwal;p yu,s berchtold;da keim,sigmod conference,,2001,1996
the oracle universal server buffer,the oracle universal server buffer,w bridge;a joshi;m keihl;t lahiri;j loaiza;n macnaughton,w bridge;a joshi;m keihl;t lahiri;j loaiza;n,vldb,proceedings of the 23rd international conference on very & hellip,1997,1997
materialized view selection for multidimensional datasets,a foundation for multi-dimensional databases,a shukla;p deshpande;j naughton,g marc;l laks,vldb,,1998,1997.6
static analysis techniques for predicting the behavior of active database rules,better static rule analysis for active database systems,a aiken;j hellerstein;j widom,e baralis;j widom,acm trans . database syst .,acm transactions on database systems,1995,1997.6
secure bufering in firm real-time database systems,special issue on real-time database systems,b george;j haritsa,m eich,vldb j.,acm sigmod record,2000,1988
the naos system,the network measurement system,c collet;t coupaye,md abrams;iw cotton;sw watkins;r rosenthal;de,sigmod conference,submitted for,1995,1997.6
extracting entity profiles from semistructured information spaces,hierarchical wrapper induction for semistructured information sources,r nado;s huffman,i muslea;s minton;ca knoblock,sigmod record,autonomous agents and multi-agent systems,1997,2001
efficient resumption of interrupted warehouse loads,efficient resumption of interrupted warehouse loads,w labio;j wiener;h garcia-molina;v gorelik,w labio;jl wiener;h garcia-molina;v gorelik,sigmod conference,sigmod conference,2000,2000
benchmarking spatial join operations with spatial output,benchmarking simple database operations,e hoel;h samet,wrms kubicar;r cattell,vldb,acm sigmod;may,1995,1997.6
extracting schema from semistructured data,path constraints on structured and semistructured data,s nestorov;s abiteboul;r motwani,p buneman;w fan;s weinstein,sigmod conference,proc . acm pods conference,1998,1997.6
unisql/x unified relational and object-oriented database system,semantics and implementation of schema evolution in object-oriented database systems,w kim,j banerjee;w kim;hj kim;hf korth,sigmod conference,proceedings of the international conference on management of,1994,1997.6
minicon : a scalable algorithm for answering queries using views,answering sql queries using views,r pottinger;a halevy,s dar;hv jagadish;ay levy;d srivastava,vldb j.,proc . of vldb,2001,1997.6
indexing multimedia databases ( tutorial ),issues in multimedia databases,,hv jagadish,,proceedings of the 1993 acm sigmod international conference & hellip,1995,1993
lambda-db : an odmg-based object-oriented dbms,s & nÃ¢ ?? tzn & l : an object-oriented dbms with event-based rules,l fegaras;c srinivasan;a rajendran;d maier,s chakravarthy,sigmod conference,,2000,1997.6
pattern matching and pattern discovery in scientific;program;and document databases,pattern matching and pattern discovery in scientific;program;and document databases .,j wang;k zhang;d shasha,acms anthology;p edition,sigmod conference,,1995,1997.6
online aggregation,lazy aggregation,j hellerstein;p haas;h wang,wp yan;paea larson,sigmod conference,international conference on very large data bases ( vldbÃ¢ ?? 95,1997,1997.6
scalable parallel data mining for association rules,maintaing data privacy in association rule mining,e han;g karypis;v kumar,sj rizvi;jr haritsa,sigmod conference,proceedings of the 28th international conference on very,1997,1997.6
checkpointing in oracle,checkpointing in oracle,a joshi;w bridge;j loaiza;t lahiri,a joshi;w bridge;j loaiza;t lahiri,vldb,proceedings of the international conference on very large & hellip,1998,1998
spatial joins using seeded trees,1993 . efficient processing ofspatial joins using r-trees,m lo;c ravishankar,t brinkho;hp kriegel;b seeger,sigmod conference,proc . acm sigmod int . conf . on management of,1994,1997.6
new concurrency control algorithms for accessing and compacting b-trees,formalization and correctness of a concurrency control algorithm for an open and safe nested,v setzer;a zisman,sk madria;sn maheshwari;b chandra,vldb,proceedings of 8th international conference on management of & hellip,1994,1997.6
cost-based optimization for magic : algebra and implementation,context-based prefetch-an optimization for implementing objects on relations,p seshadri;j hellerstein;h pirahesh;t leung;r ramakrishnan;d srivastava;p stuckey;s sudarshan,pa bernstein;s pal;d shutt,sigmod conference,the vldb journal the international journal on very large & hellip,1996,2000
peer-to-peer : harnessing the power of disruptive technologies,peer-to-peer : harnessing the power of disruptive technologies;chapter gnutella,m nascimento,a oram,sigmod record,,2003,2001
the grid : an application of the semantic web,the semantic web : semantics for data on the web,c goble;d roure,s decker;v kashyap,sigmod record,proceedings of the international conference on very large & hellip,2002,2003
document management as a database problem,multlmedla data base management apphcatlons and problems a posltlon paper,r bayer,s chnstodoulakls,vldb,proc acm sigmod,1995,1997.6
privacy-preserving data mining,preserving privacy in data preparation for association rule mining,r agrawal;r srikant,n zhang;s wang;w zhao,sigmod conference,,2000,1997.6
mocha : a self-extensible database middleware system for distributed data sources,a system level concurrency control for distributed database systems,m rodriguez-martinez;n roussopoulos,dj rozenkrantz;re stearns;pm lewis,sigmod conference,acm trans on database systems,2000,1997.6
chair ¡¯s message,director ¡¯s message,,ofe announcements;webb learning;f commons,,,2001,1997.6
editor ¡¯s notes,editor ¡¯s notes,l liu,r diem,sigmod record,social studies and the young learner,2003,1997.6
efficient mining of xml query patterns for caching,efficient algorithms for minimizing tree pattern queries,l yang;m lee;w hsu,p ramanan,vldb,sigmod conference,2003,2002
a multi-paradigm querying approach for a generic multimedia database management system,a multi-paradigm querying approach for a generic multimedia database management system,j wen;q li;w ma;h zhang,jr wen;q li;wy ma;hj zhang,sigmod record,sigmod record,2003,2003
temporal aggregation in active database rules,temporal reasoning in active databases,i motakis;c zaniolo,i motakis,sigmod conference,,1997,1997
data placement in shared-nothing parallel database systems,object placement in parallel object-oriented database systems,m mehta;d dewitt,s ghandeharizadeh;d wilhite;k lin;x zhao,vldb j.,,1997,1997.6
deeds towards a distributed and active real-time database system,deeds towards a distributed and real-time database system,s andler;j hansson;j eriksson;j mellin;m berndtsson;b eftring,sa andler;j hansson;j eriksson;j mellin;m,sigmod record,sigmod record 25 ( 1 ),1996,1997.6
space optimization in deductive databases,set query optimization in distributed database systems,d srivastava;s sudarshan;r ramakrishnan;j naughton,b gavish;a segev,acm trans . database syst .,acm transactions on database systems,1995,1986
an annotated bibliography of benchmarks for object databases,an annotated bibliography of grasp,a chaudhri,p festa;mgc resende,sigmod record,operations research,1995,1997.6
coalescing in temporal databases,modelling temporal data,m bÑ–hlen;r snodgrass;m soo,au tansel,vldb,information and software technology,1996,1990
qursed : querying and reporting semistructured data,managing and querying changes in semi-structured data,y papakonstantinou;m petropoulos;v vassalos,s chawathe;s abiteboul;j widom,sigmod conference,proceedings of acm sigmod conference,2002,1997.6
mining generalized association rules,an effective hash based algorithm for mining association rules,r srikant;r agrawal,sp jong;sc ming;sy philip,vldb,proceedings of the 1995 acm sigmod international conference & hellip,1995,1997.6
lore : a lightweight object repository for semistructured data,lore : a database management system for semistructued data,d quass;j widom;r goldman;k haas;q luo;j mchugh;s nestorov;a rajaraman;h rivero;s abiteboul;j ullman;j wiener,j mchugh;s abiteboul;r goldmanÃ¢ ? Â¦,sigmod conference,acm sigmod,1996,1997.6
the ores temporal database management system,query processing in main memory database management systems,b theodoulidis;a ait-braham;g andrianopoulos;j chaudhary;g karvelis;s sou,mj carey;tj lehman,sigmod conference,proceedings of acm sigmod,1994,1997.6
mpeg-7 standard for multimedia databases,to multimedia databases in proc,,d woelk;w kim;wlaoo approach,,acm,2001,1997.6
a performance study of transitive closure algorithms,transitive closure algorithms based on graph traversal,s dar;r ramakrishnan,y ioannidis;r ramakrishnan;l winger,sigmod conference,acm transactions on database systems,1994,1993
quasi-cubes : exploiting approximations in multidimensional databases,a foundation for multi-dimensional databases,d barbarÑ;m sullivan,m gyssens;lvs lakshmanan,sigmod record,,1997,1997.6
revisiting commit processing in distributed database systems,effect of resource contention on distributed database systems,r gupta;j haritsa;k ramamritham,k lam;s hung,sigmod conference,information and software technology,1997,1993
reminiscences on influential papers,reminiscences on influential papers .,,acms anthology,,sigmod,2000,1998
cache portal : technology for accelerating database-driven e-commerce web sites,enabling dynamic content caching for database-driven web sites,w li;k candan;w hsiung;o po;d agrawal;q luo;w huang;y akca;c yilmaz,k selcuk;ws li;q luoand;wp hsiung;d agrawal,vldb,acm sigmod conference,2001,1997.6
alias : an active learning led interactive deduplication system,alias : an active learning led interactive deduplication system,s sarawagi;a bhamidipaty;a kirpal;c mouli,s sarawagi;a bhamidipaty;a kirpal;c mouli,vldb,vldb,2002,2002
estimating the selectivity of spatial queries using the ` correlation ¡¯ fractal dimension,estimating the selectivity of spatial queries using the ` correlation ` fractal dimension,a belussi;c faloutsos,a belussi;c faloutsos,vldb,,1995,1995
a predicate-based caching scheme for client-server database architectures,performance and scalability of client-server database architectures,a keller;j basu,a delis;n roussopoulos,vldb j.,proceedings of the international conference on very large & hellip,1996,1992
an efficient method for checking object-oriented database schema correctness,an efficient method for checking object-oriented database schema correctness,a formica;h grÑ–ger;m missikoff,a formica;hd groger;m missikoff,acm trans . database syst .,acm transactions on database systems,1998,1998
spatio-temporal retrieval with rasdaman,spatio-temporal retrieval with rasdaman,p baumann;a dehmel;p furtado;r ritsch;n widmann,p baumann;a dehmel;p furtado;r ritsch;n,vldb,proceedings of the international conference on very large & hellip,1999,1999
towards a cooperative transaction model - the cooperative activity model,towards a theory of advanced transaction models in the situation calculus,m rusinkiewicz;w klas;t tesch;j wÑ„sch;p muth,i kiringa,vldb,proceedings of the vldb 8th internationalworkshop on & hellip,1995,1997.6
acm multimedia ¡¯94 conference workshop on multimedia database management systems,mpeg-7 and multimedia database systems,p berra;k nwosu;b thuraisingham,h kosch,sigmod record,sigmod record,1995,2002
query caching and optimization in distributed mediator systems,distributed multimedia systems,s adali;k candan;y papakonstantinou;v subrahmanian,vok li;w liao,sigmod conference,proceedings-ieee,1996,1997
data access for the masses through ole db,the masses through ole db,j blakeley,ja blakeley,sigmod conference,proc . sigmod,1996,1997.6
infoharness : a system for search and retrieval of heterogeneous information,interactive information systems : information access and retrieval,l shklar;a sheth;v kashyap;s thatte,r oliver,sigmod conference,electronic library,1995,1995
the design and implementation of a sequence database system,performance evaluation of a temporal database management system,p seshadri;m livny;r ramakrishnan,i ahn;r snodgrass,vldb,proceedings of the 1986 acm sigmod international conference & hellip,1996,1986
a hypertext query language for images,a hypertext query language for images,l yang,l yang,sigmod record,sigmod record,1994,1994
a consensus glossary of temporal database concepts,rt snodgrass a glossary of temporal database concepts,c jensen;j clifford;r elmasri;s gadia;p hayes;s jajodia,cs jensen;j cliord;sk gadia;a segev,sigmod record,acm sigmod record,1994,1997.6
on supporting containment queries in relational database management systems,an annotation management system for relational databases,c zhang;j naughton;d dewitt;q luo;g lohman,d bhagwat;l chiticariu;wc tan;g vijayvargiya,sigmod conference,proceedings of the international conference on very large & hellip,2001,2004
compressing sql workloads,compressing sql workloads,s chaudhuri;a gupta;v narasayya,s chaudhuri;ak gupta;vr narasayya,sigmod conference,,2002,1997.6
power efficient data gathering and aggregation in wireless sensor networks,an efficient clustering-based heuristic for data gathering and aggregation in sensor networks,h tan;i korpeoglu,k dasgupta;k kalpakis;p namjoshi,sigmod record,,2003,1997.6
probview : a flexible probabilistic database system,temporal probabilistic databases;i : algebra,l lakshmanan;n leone;r ross;v subrahmanian,a dekhtyar;r ross;vs subrahmanian,acm trans . database syst .,acm transactions on database systems,1997,1997.6
parallel mining algorithms for generalized association rules with classification hierarchy,new algorithms for efficient mining of association rules,t shintani;m kitsuregawa,l shen;h shen;l cheng,sigmod conference,,1998,1997.6
description logics for semantic query optimization in object-oriented database systems,composite object support in an object-oriented database system,d beneventano;s bergamaschi;c sartori,w kim871 kim;j banejee;h chou;j garza;d woelk,acm trans . database syst .,proc . acm;oopsla;october,2003,1997.6
selectivity estimation in spatial databases,selectivity estimation for fuzzy string predicates in large data sets,s acharya;v poosala;s ramaswamy,l jin;c li,sigmod conference,,1999,1997.6
querying multi-dimensional data indexed using the hilbert space-filling curve,querying multi-dimensional data indexed using the hilbert space-filling curve,j lawder;p king,jk lawder,sigmod record,sigmod record,2001,2001
local dimensionality reduction : a new approach to indexing high dimensional spaces,local dimensionality reduction : a new approach to indexing high dimensional databases,k chakrabarti;s mehrotra,k chakrabarti;s mehrotra,vldb,proc . 26th int . conf . very large,2000,1997.6
dynamic multi-resource load balancing in parallel database systems,shared-nothing paralel database systems,e rahm;r marek,m manish;d dewitt,vldb,vldb journal,1995,1997.6
the network is the database : data management for highly distributed systems,the cedar database management system,j navas;m wynblatt,m brownÃ¢ ? Â¦,sigmod conference,proc . 1981 acmsigmod conference on management of data;ann & hellip,2001,1997.6
rate-based query optimization for streaming information sources,a cost model for query optimization using r-trees,s viglas;j naughton,wg aref;h samet,sigmod conference,acm-gis,2002,1997.6
database systems management and oracle8,the active database management systems manifesto,c doherty,kr dittrich;s gatziu;a geppert,sigmod conference,sigmod record,1998,1997.6
query optimization in compressed database systems,query optimization for xml,z chen;j gehrke;f korn,j mchugh;j widom,sigmod conference,vldb,2001,1999
eddies : continuously adaptive query processing,eddies : continuously adaptive query processing,r avnur;j hellerstein,jm hellerstein;r avnur,sigmod conference,proceedings of the acm sigmod international conference on,2000,1997.6
a performance evaluation of oid mapping techniques,periodic evaluation of tenured faculty performance .,a eickler;c gerlhof;d kossmann,jb bennett,vldb,new directions for higher education,1995,1985
editorial,editorial,,mt Ã£?zsu,,the vldb journal the international journal on very large & hellip,2001,2005
unisql ¡¯s next-generation object-relational database management system,access path selection 111 a relational database management system,a d¡¯andrea;p janus,pg sehnger;mm astrahan;dd chamberhn;ra lone;tg,sigmod record,prcceedmgs of 1979 acm sigmod conference;( june,1996,1997.6
efficiently instantiating view-objects from remote relational databases,updating relational databases through object-based views,b lee;g wiederhold,t barsalou;g wiederhold,vldb j.,,1994,1997.6
picodbms : validation and experience,picodbms : validation and experience ¡¯ . 27th int,n anciaux;c bobineau;l bouganim;p pucheral;p valduriez,n anciaux;c bobineau;l bouganim;p pucheral;p,vldb,conf . on very large data bases,2001,1997.6
a database model for object dynamics,a process model for data bases,m papazoglou;b krÑ„mer,j guyot,vldb j.,sigmod record,1997,1988
information retrieval from an incomplete data cube,information retrieval from an incomplete data cube,c dyreson,c dyreson,vldb,proceedings of the international conference on very large & hellip,1996,1996
editorial,guest editorial,,s chaudhuri,,data mining and knowledge discovery,2001,2000
cure : an efficient clustering algorithm for large databases,s. navathe;Ã¢ ?? an efficient algorithm for mining association rules in large database;Ã¢ ??,s guha;r rastogi;k shim,a savasere;e omiecinski,sigmod conference,proc . internal conf . very large data,1998,1997.6
metu interoperable database system,making smalltalk a database system,a dogac;u halici;e kilic;g Ð¶zhan;f ozcan;s nural;c dengi;s mancuhan;i arpinar;p koksal;c evrendilek,gp copeland,sigmod conference,,1996,1997.6
webdb ¡¯ 98 : international workshop on the web and databases,krdb ¡¯ 98 : the 5th international workshop on knowledge representation meets databases .,,acms anthology,,sigmod record,1998,1998
understanding the global semantics of referential actions using logic rules,referential actions as logic rules,w may;b ludÑ„scher,b ludaescher;w may;g lausen,acm trans . database syst .,proceedings of the acm sigact sigmod sigart symposium on & hellip,2002,1997
efficient integration and aggregation of historical information,efficient integration and aggregation of historical information,m riedewald;d agrawal;a abbadi,m riedewald;d agrawal,sigmod conference,sigmod conference,2002,2002
efficient and extensible algorithms for multi query optimization,efficient algorithms for processing xpath queries,p roy;s seshadri;s sudarshan;s bhobe,g gottlob;c koch;r pichler,sigmod conference,acm transactions on database systems,2000,2005
