ltable_title,rtable_title,ltable_manufacturer,rtable_manufacturer,ltable_price,rtable_price
digidesign music production toolkit ( pro tools le ),digidesign pro tools hd 7.3 software upgrade music production software,digidesign,,495,199
digidesign music production toolkit ( pro tools le ),bias peak pro xt 5 software bundle music production software,digidesign,,495,999
digidesign music production toolkit ( pro tools le ),sibelius sibelius 4 software music production software,digidesign,sibelius-software-ltd .,495,449.95
sibelius 4 professional edition,sibelius sibelius 4 software music production software,sibelius-software-ltd .,sibelius-software-ltd .,599.99,449.95
m-audio pro tools m-powered 7.3 m-audio compatible world-class production software,sibelius sibelius 4 software music production software,m-audio,sibelius-software-ltd .,299.99,449.95
sibelius 5 professional edition,sibelius sibelius 4 software music production software,sibelius-software-ltd .,sibelius-software-ltd .,599,449.95
sibelius 5 educational edition,sibelius sibelius 4 software music production software,sibelius-software-ltd .,sibelius-software-ltd .,329,449.95
digidesign music production toolkit ( pro tools le ),m-audio pro tools m-powered mpowered 7.3 software music production software,digidesign,,495,249
adobe creative suite cs3 master collection upsell,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,adobe,,1999,18.88
adobe creative suite cs3 production premium,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,adobe,,1699,18.88
adobe creative suite cs3 production premium upgrade,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,adobe,,799,18.88
adobe creative suite cs3 production premium upsell,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,adobe,,1199,18.88
adobe creative suite cs3 master collection upgrade [ mac ],19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,adobe,,1399,18.88
adobe creative suite cs3 production premium,19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,adobe,,1699,18.88
adobe creative suite cs3 master collection [ mac ],19280016dm adobe creative suite 3 master collection media tlp tlp nonprofit dvd ma,adobe,,2499,18.88
adobe creative suite cs3 master collection upsell,adobe cs3 master collection,adobe,,1999,2499.99
adobe creative suite cs3 production premium,adobe cs3 master collection,adobe,,1699,2499.99
adobe dreamweaver cs3 upgrade,adobe cs3 master collection,adobe,,199,2499.99
adobe after effects cs3 upgrade,adobe cs3 master collection,adobe,,299,2499.99
station access collection,adobe cs3 master collection,sony-creative-software,,29.99,2499.99
adobe illustrator cs3 [ mac ],adobe cs3 master collection,adobe,,599,2499.99
adobe photoshop cs3 [ mac ],adobe cs3 master collection,adobe,,649,2499.99
adobe fireworks cs3 [ mac ],adobe cs3 master collection,adobe,,299,2499.99
adobe cs3 design premium macosx dvd,adobe cs3 master collection,adobe,,599,2499.99
adobe after effects cs3,adobe cs3 master collection,adobe,,999,2499.99
adobe indesign cs3 [ mac ],adobe cs3 master collection,adobe,,699,2499.99
adobe creative suite cs3 master collection upgrade [ mac ],adobe cs3 master collection,adobe,,1399,2499.99
adobe flash pro cs3 [ mac ],adobe cs3 master collection,adobe,,699,2499.99
adobe creative suite cs3 production premium,adobe cs3 master collection,adobe,,1699,2499.99
adobe contribute cs3 [ mac ],adobe cs3 master collection,adobe,,149,2499.99
adobe creative suite cs3 master collection [ mac ],adobe cs3 master collection,adobe,,2499,2499.99
adobe creative suite cs3 master collection upsell,adobe cs3 web standard upsell,adobe,,1999,819.99
adobe creative suite cs3 web standard [ mac ],adobe cs3 web standard upsell,adobe,,999,819.99
adobe creative suite cs3 design premium upsell [ mac ],adobe cs3 web standard upsell,adobe,,1599,819.99
adobe cs3 design standard macosx dvd,adobe cs3 web standard upsell,adobe,,399,819.99
adobe creative suite cs3 web premium upsell [ mac ],adobe cs3 web standard upsell,adobe,,1399,819.99
adobe acrobat standard 8.0,adobe cs3 web standard upsell,adobe,,449.99,819.99
adobe creative suite cs3 design standard upgrade,adobe cs3 web standard upsell,adobe,,399,819.99
adobe creative suite cs3 web standard upsell,adobe cs3 web standard upsell,adobe,,799,819.99
adobe creative suite cs3 design standard upsell [ mac ],adobe cs3 web standard upsell,adobe,,899,819.99
adobe creative suite cs3 web standard upsell [ mac ],adobe cs3 web standard upsell,adobe,,799,819.99
adobe creative suite cs3 design premium upsell,adobe cs3 web standard upsell,adobe,,1599,819.99
adobe creative suite cs3 web standard upgrade [ mac ],adobe cs3 web standard upsell,adobe,,399,819.99
adobe after effects professional 6.5 upgrade from standard to professional,adobe cs3 web standard upsell,adobe,,499.99,819.99
acrobat professional 8 mac upsell standard-professional,adobe cs3 web standard upsell,adobe,,273,819.99
hoyle kids ' games jc,hoyle card games,encore,,9.99,9.95
hoyle casino ( 2007 ),hoyle card games,encore,,19.99,9.95
more brain games,hoyle card games,csdc,,9.99,9.95
hoyle puzzle & board games,hoyle card games,encore software,,19.95,9.95
hoyle card games ( jewel case ),hoyle card games,encore software,,9.99,9.95
hoyle backgammon jc,hoyle card games,encore,,7.99,9.95
hoyle card games 2007,hoyle card games,encore software,,29.99,9.95
net ad creator,laughingbird the logo creator,laughing bird,,39.99,34.99
the logo creator ( mac ),laughingbird the logo creator,laughing bird,,39.99,34.99
reel deal slots 2.0 for pc,phantom efx reel deal slots v 2.0,phantom efx,,9.99,7.36
reel deal slots 2.0 for pc,phantom efx reel deal slots mystic forest,phantom efx,,9.99,17.24
quickbooks pos : pro multistore 6.0,quickbooks ( r ),intuit inc.,,1399.95,103.99
quickbooks credit card processing kit 3.0,quickbooks ( r ),intuit,,39.95,103.99
quickbooks customer manager 2.5,quickbooks ( r ),intuit,,79.95,103.99
quickbooks pos : pro multistore 6.0,quickbooks pro 2007 3 user,intuit inc.,intuit,1399.95,398.99
quicken 2007 premier,quickbooks pro 2007 3 user,intuit,intuit,79.95,398.99
quickbooks premier professional services edition 2007,quickbooks pro 2007 3 user,intuit,intuit,399.95,398.99
mcafee total protection 2007 3 users,quickbooks pro 2007 3 user,mcafee,intuit,99.99,398.99
ca internet security suite 2007 3 user,quickbooks pro 2007 3 user,computer associates,intuit,69.95,398.99
quickbooks credit card processing kit 3.0,quickbooks pro 2007 3 user,intuit,intuit,39.95,398.99
quickbooks simple start 2007,quickbooks pro 2007 3 user,intuit,intuit,99.95,398.99
quickbooks premier edition 2007 5 user multi-pack,quickbooks pro 2007 3 user,intuit,intuit,1499.95,398.99
quickbooks point-of-sale basic 6.0,quickbooks pro 2007 3 user,intuit,intuit,799.95,398.99
learning quickbooks 2007,quickbooks pro 2007 3 user,intuit,intuit,39.95,398.99
quicken legal business pro 2007,quickbooks pro 2007 3 user,nolo press,intuit,79.99,398.99
quickbooks premier nonprofit edition 2007,quickbooks pro 2007 3 user,intuit,intuit,399.95,398.99
quickbooks pos : pro multistore 6.0,quickbooks ( r ),intuit inc.,,1399.95,178.99
quickbooks credit card processing kit 3.0,quickbooks ( r ),intuit,,39.95,178.99
quickbooks simple start 2007,quickbooks ( r ),intuit,,99.95,178.99
quickbooks point-of-sale basic 6.0,quickbooks ( r ),intuit,,799.95,178.99
quickbooks pos : pro multistore 6.0,quickbooks ( r ) pro 2007,intuit inc.,,1399.95,179.99
quicken 2007 premier,quickbooks ( r ) pro 2007,intuit,,79.95,179.99
quickbooks premier professional services edition 2007,quickbooks ( r ) pro 2007,intuit,,399.95,179.99
quickbooks credit card processing kit 3.0,quickbooks ( r ) pro 2007,intuit,,39.95,179.99
quickbooks pro 2007 for mac ( mac ),quickbooks ( r ) pro 2007,intuit,,199.95,179.99
quickbooks pro 2007 small business financial software,quickbooks ( r ) pro 2007,intuit,,199.95,179.99
quickbooks simple start 2007,quickbooks ( r ) pro 2007,intuit,,99.95,179.99
quicken 2007 basic,quickbooks ( r ) pro 2007,intuit,,29.95,179.99
quickbooks premier edition 2007 5 user multi-pack,quickbooks ( r ) pro 2007,intuit,,1499.95,179.99
quicken 2007 deluxe,quickbooks ( r ) pro 2007,intuit,,59.95,179.99
quickbooks point-of-sale basic 6.0,quickbooks ( r ) pro 2007,intuit,,799.95,179.99
learning quickbooks 2007,quickbooks ( r ) pro 2007,intuit,,39.95,179.99
quickbooks customer manager 2.5,quickbooks ( r ) pro 2007,intuit,,79.95,179.99
quickbooks premier manufacturer and wholesale edition 2007,quickbooks ( r ) pro 2007,intuit,,399.95,179.99
quickbooks point-of-sale pro with hardware bundle 6.0,quickbooks ( r ) pro 2007,intuit,,1749.95,179.99
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft office 2004 for students and teachers ( mac ),microsoft corporation,,,134.99
microsoft office small business 2007,microsoft office 2004 for students and teachers ( mac ),microsoft software,,735.33,134.99
microsoft powerpoint 2004 ( mac ),microsoft office 2004 for students and teachers ( mac ),microsoft,,229.99,134.99
microsoft office 2004 standard ( mac ),microsoft office 2004 for students and teachers ( mac ),microsoft,,399.99,134.99
microsoft office 2004 professional ( mac ),microsoft office 2004 for students and teachers ( mac ),microsoft,,499.99,134.99
microsoft onenote 2007,microsoft office 2004 for students and teachers ( mac ),microsoft,,99.95,134.99
microsoft office & windows training,microsoft office 2004 for students and teachers ( mac ),topics entertainment,,29.99,134.99
microspot macdraft pe ( mac ),microsoft office 2004 for students and teachers ( mac ),microspot ltd.,,99.95,134.99
microsoft student with encarta premium 2008 dvd,microsoft office 2004 for students and teachers ( mac ),microsoft,,49.95,134.99
microsoft office excel 2007,microsoft office 2004 for students and teachers ( mac ),microsoft,,229.95,134.99
microsoft virtual pc for mac 7.0 with windows 2000,microsoft office 2004 for students and teachers ( mac ),microsoft,,249.99,134.99
microspot interiors ( mac ),microsoft office 2004 for students and teachers ( mac ),microspot ltd.,,99.95,134.99
microsoft office mac 2004 english 3pk dsp 731-01163 ),microsoft office 2004 student/teacher,microsoft corporation,,,145.99
microsoft powerpoint 2004 ( mac ),microsoft office 2004 student/teacher,microsoft,,229.99,145.99
microsoft office student and teacher edition 2004 macintosh,microsoft office 2004 student/teacher,microsoft,,149.99,145.99
microsoft office 2004 standard ( mac ),microsoft office 2004 student/teacher,microsoft,,399.99,145.99
microsoft onenote 2007 upgrade,microsoft office 2004 student/teacher,microsoft,,79.95,145.99
microsoft onenote 2007,microsoft office 2004 student/teacher,microsoft,,99.95,145.99
microsoft office & windows training,microsoft office 2004 student/teacher,topics entertainment,,29.99,145.99
microsoft word 2004 upgrade ( mac ),microsoft office 2004 student/teacher,microsoft,,109.99,145.99
microsoft student with encarta premium 2008 dvd,microsoft office 2004 student/teacher,microsoft,,49.95,145.99
microsoft outlook 2007,microsoft office 2004 student/teacher,microsoft,,109.95,145.99
microsoft office excel 2007,microsoft office 2004 student/teacher,microsoft,,229.95,145.99
microsoft office mac 2004 english 3pk dsp 731-01163 ),h22-01722 microsoft office project server 2007 media volume cd win english,microsoft corporation,,,23.48
instant immersion spanish deluxe 2.0,instant immers italian dlux 2 .,topics entertainment,,49.99,36.11
instant immersion spanish ( audio book ),instant immers italian dlux 2 .,topics entertainment,,,36.11
instant immersion japanese ( audio book ),instant immers italian dlux 2 .,topics entertainment,,,36.11
instant immersion italian platinum,instant immers italian dlux 2 .,topics entertainment,,129.99,36.11
instant immersion spanish audio deluxe,instant immers italian dlux 2 .,topics entertainment,,39.95,36.11
instant immersion spanish 2.0,instant immers italian dlux 2 .,topics entertainment,,29.99,36.11
instant immersion italian deluxe v2 .0 ( large box ),instant immers italian dlux 2 .,topics entertainment,,29.99,36.11
instant immersion japanese 2.0,instant immers italian dlux 2 .,topics entertainment,,19.99,36.11
instant immersion german v2 .0 ( pc & mac ),instant immers italian dlux 2 .,topics entertainment,,29.99,36.11
instant immersion japanese deluxe 2.0,instant immers italian dlux 2 .,topics entertainment,,39.99,36.11
instant immersion 33 languages,instant immers italian dlux 2 .,topics entertainment,,49.99,36.11
instant immersion ingles audio deluxe,instant immers italian dlux 2 .,topics entertainment,,,36.11
instant immersion italian deluxe 2.0,instant immers italian dlux 2 .,topics entertainment,,49.99,36.11
instant immersion american sign language win/mac,instant immers italian dlux 2 .,topics entertainment,,9.99,36.11
instant immersion italian v2 .0 ( large box ),instant immers italian dlux 2 .,topics entertainment,,29.99,36.11
instant immersion translator deluxe 2.0,instant immers italian dlux 2 .,topics entertainment,,49.99,36.11
instant immersion spanish deluxe 2.0,photo explosion deluxe ( r ) 2.0,topics entertainment,,49.99,49.99
instant immersion french deluxe 2.0,photo explosion deluxe ( r ) 2.0,topics entertainment,,49.99,49.99
instant immersion japanese deluxe 2.0,photo explosion deluxe ( r ) 2.0,topics entertainment,,39.99,49.99
instant immersion italian deluxe 2.0,photo explosion deluxe ( r ) 2.0,topics entertainment,,49.99,49.99
instant immersion translator deluxe 2.0,photo explosion deluxe ( r ) 2.0,topics entertainment,,49.99,49.99
instant immersion spanish deluxe 2.0,instant immersion translator deluxe 2.0,topics entertainment,,49.99,22.9
instant immersion spanish ( audio book ),instant immersion translator deluxe 2.0,topics entertainment,,,22.9
instant immersion language lab deluxe edition,instant immersion translator deluxe 2.0,topics entertainment,,,22.9
instant immersion italian 2.0,instant immersion translator deluxe 2.0,topics entertainment,,29.99,22.9
instant immersion japanese ( audio book ),instant immersion translator deluxe 2.0,topics entertainment,,,22.9
instant immersion italian platinum,instant immersion translator deluxe 2.0,topics entertainment,,129.99,22.9
instant immersion spanish audio deluxe,instant immersion translator deluxe 2.0,topics entertainment,,39.95,22.9
instant immersion french deluxe 2.0,instant immersion translator deluxe 2.0,topics entertainment,,49.99,22.9
instant immersion hawaiian audio,instant immersion translator deluxe 2.0,topics entertainment,,,22.9
instant immersion german v2 .0 ( pc & mac ),instant immersion translator deluxe 2.0,topics entertainment,,29.99,22.9
instant immersion ingles audio deluxe,instant immersion translator deluxe 2.0,topics entertainment,,,22.9
instant immersion italian deluxe 2.0,instant immersion translator deluxe 2.0,topics entertainment,,49.99,22.9
instant immersion american sign language win/mac,instant immersion translator deluxe 2.0,topics entertainment,,9.99,22.9
instant immersion french 2.0,instant immersion translator deluxe 2.0,topics entertainment,,29.99,22.9
instant immersion italian v2 .0 ( large box ),instant immersion translator deluxe 2.0,topics entertainment,,29.99,22.9
instant immersion spanish deluxe 2.0,nova print explosion deluxe 3.0,topics entertainment,,49.99,46.99
instant immersion french deluxe 2.0,nova print explosion deluxe 3.0,topics entertainment,,49.99,46.99
instant immersion japanese deluxe 2.0,nova print explosion deluxe 3.0,topics entertainment,,39.99,46.99
photo explosion deluxe 3.0,nova print explosion deluxe 3.0,nova development,,49.99,46.99
art explosion t-shirt factory deluxe 3.0,nova print explosion deluxe 3.0,nova development,,29.99,46.99
instant immersion spanish deluxe 2.0,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,49.99,17.55
instant immersion spanish ( audio book ),topics entertainment instant immersion spanish audio deluxe,topics entertainment,,,17.55
instant immersion japanese ( audio book ),topics entertainment instant immersion spanish audio deluxe,topics entertainment,,,17.55
instant immersion italian platinum,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,129.99,17.55
instant immersion spanish 2.0,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,29.99,17.55
instant immersion italian deluxe v2 .0 ( large box ),topics entertainment instant immersion spanish audio deluxe,topics entertainment,,29.99,17.55
instant immersion japanese 2.0,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,19.99,17.55
instant immersion hawaiian audio,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,,17.55
instant immersion japanese deluxe 2.0,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,39.99,17.55
instant immersion italian deluxe 2.0,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,49.99,17.55
instant immersion french 2.0,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,29.99,17.55
instant immersion translator deluxe 2.0,topics entertainment instant immersion spanish audio deluxe,topics entertainment,,49.99,17.55
adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe acrobat v8 .0 professional for mac upgrade,adobe software,,273,145.99
microspot macdraft professional ( mac ),adobe acrobat v8 .0 professional for mac upgrade,microspot ltd.,,349.99,145.99
adobe dreamweaver cs3 upgrade,adobe acrobat v8 .0 professional for mac upgrade,adobe,,199,145.99
adobe creative suite cs3 production premium upgrade,adobe acrobat v8 .0 professional for mac upgrade,adobe,,799,145.99
adobe after effects cs3 upgrade,adobe acrobat v8 .0 professional for mac upgrade,adobe,,299,145.99
microsoft office 2004 professional ( mac ),adobe acrobat v8 .0 professional for mac upgrade,microsoft,,499.99,145.99
adobe after effects 7.0 professional ( mac ),adobe acrobat v8 .0 professional for mac upgrade,adobe,,999,145.99
microsoft windows xp professional upgrade with sp2,adobe acrobat v8 .0 professional for mac upgrade,microsoft software,,199.99,145.99
acrobat professional 8 ( windows ),adobe acrobat v8 .0 professional for mac upgrade,adobe,,273,145.99
adobe acrobat standard 8.0,adobe acrobat v8 .0 professional for mac upgrade,adobe,,449.99,145.99
emc retrospect 7.5 professional for windows upgrade,adobe acrobat v8 .0 professional for mac upgrade,dantz,,,145.99
adobe photoshop cs3 upgrade [ mac ],adobe acrobat v8 .0 professional for mac upgrade,adobe,,199,145.99
adobe after effects professional 6.5 upgrade from standard to professional,adobe acrobat v8 .0 professional for mac upgrade,adobe,,499.99,145.99
adobe audition 2.0 upgrade,adobe acrobat v8 .0 professional for mac upgrade,adobe,,129,145.99
adobe acrobat capture 100 000 page pack,adobe acrobat v8 .0 professional for mac upgrade,adobe,,1514.99,145.99
adobe acrobat capture 3.0 22101258 ),adobe acrobat v8 .0 professional for mac upgrade,adobe,,299.99,145.99
acrobat professional 8 mac upsell standard-professional,adobe acrobat v8 .0 professional for mac upgrade,adobe,,273,145.99
adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe acrobat ( v8 .0 ) pro win up from std adobe 22020452,adobe software,,273,151.27
adobe acrobat standard 8.0,adobe acrobat ( v8 .0 ) pro win up from std adobe 22020452,adobe,,449.99,151.27
adobe acrobat capture 3.0 22101258 ),adobe acrobat ( v8 .0 ) pro win up from std adobe 22020452,adobe,,299.99,151.27
adobe software acrobat pro upgrd pro-pro mac ( adbcd01798mc ),adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),adobe software,,273,157.36
adobe after effects 7.0 professional ( mac ),adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),adobe,,999,157.36
acrobat professional 8 ( windows ),adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),adobe,,273,157.36
systemsuite 8 professional,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),individual software,,49.99,157.36
vcomm system suite professional 7,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),avanquest,,49.95,157.36
adobe acrobat 7.0 professional,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),adobe,,449.99,157.36
adobe acrobat capture 3.0 22101258 ),adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),adobe,,299.99,157.36
acrobat professional 8 mac upsell standard-professional,adobe systems inc adobe acrobat 8.0 professional upsell ( std-pro ),adobe,,273,157.36
apple final cut studio 2 ( mac ),ma888z/a final cut studio v. 2 version upgrade package 1 seat dvd mac,apple,,1299,460.7
apple final cut studio 2 upgrade from final cut pro ( mac ),ma888z/a final cut studio v. 2 version upgrade package 1 seat dvd mac,apple,,699,460.7
apple final cut studio 2 ( mac ),apple software m9372z/a final cut express 2.0 upgrade,apple,apple software,1299,79.99
apple final cut express hd 3.5 ( mac ),apple software m9372z/a final cut express 2.0 upgrade,apple computer,apple software,299,79.99
apple logic pro 7.2 upgrade,apple software m9372z/a final cut express 2.0 upgrade,apple,apple software,299,79.99
final cut express 2.0 upgrade,apple software m9372z/a final cut express 2.0 upgrade,apple computer,apple software,99.99,79.99
apple final cut studio 2 ( mac ),. mac ( mac ) apple,apple,,1299,99.99
apple xsan ( mac ),. mac ( mac ) apple,apple,,,99.99
apple iwork '06 ( mac dvd ),. mac ( mac ) apple,apple,,79,99.99
quake 4 ( mac ),. mac ( mac ) apple,aspyr media,,39.99,99.99
ilisten ( mac ),. mac ( mac ) apple,macspeech inc.,,99.99,99.99
doom 3 ( dvd ) ( mac ),. mac ( mac ) apple,aspyr media,,39.99,99.99
apple final cut studio 2 ( mac ),apple final cut studio 2,apple,,1299,1299.99
apple final cut express hd 3.5 ( mac ),apple final cut studio 2,apple computer,,299,1299.99
apple final cut studio 2 upgrade from final cut studio ( mac ),apple final cut studio 2,apple,,499,1299.99
apple final cut studio 2 upgrade from final cut pro ( mac ),apple final cut studio 2,apple,,699,1299.99
apple final cut studio 2 ( mac ),apple final cut studio 2 production suite for mac av production software,apple,,1299,1298.95
apple final cut express hd 3.5 ( mac ),apple final cut studio 2 production suite for mac av production software,apple computer,,299,1298.95
apple final cut studio 2 ( mac ),apple final cut express hd 3.5,apple,,1299,299.99
apple final cut express hd 3.5 ( mac ),apple final cut express hd 3.5,apple computer,,299,299.99
final cut express 2.0 upgrade,apple final cut express hd 3.5,apple computer,,99.99,299.99
apple final cut studio 2 ( mac ),apple final cut studio 2 upgrade from final cut studio,apple,,1299,499.99
apple final cut express hd 3.5 ( mac ),apple final cut studio 2 upgrade from final cut studio,apple computer,,299,499.99
logic express 7.2 upgrade from logic express 6,apple final cut studio 2 upgrade from final cut studio,apple-computer - ( direct ),,99,499.99
apple final cut studio 2 upgrade from final cut pro ( mac ),apple final cut studio 2 upgrade from final cut studio,apple,,699,499.99
reference success deluxe 2006,high school success deluxe 2006,topics entertainment,,49.95,7.9
individual small business advantage deluxe 2006,high school success deluxe 2006,individual,,49.99,7.9
math success deluxe 2007,high school success deluxe 2006,topics entertainment,,39.99,7.9
elementary school success deluxe 2006,high school success deluxe 2006,topics entertainment,,49.99,7.9
math success deluxe 2006,high school success deluxe 2006,topics entertainment,,49.99,7.9
elementary success deluxe 2006 ( dw dvd ),high school success deluxe 2006,topics entertainment,,49.99,7.9
middle school success deluxe 2008,high school success deluxe 2006,topics entertainment,,49.99,7.9
math success deluxe 2008,high school success deluxe 2006,topics entertainment,,49.99,7.9
reference success deluxe 2006,elementary school success deluxe 2006,topics entertainment,,49.95,12.95
elementary advantage 2008,elementary school success deluxe 2006,encore software,,,12.95
middle school success essentials,elementary school success deluxe 2006,topics entertainment,,29.99,12.95
individual small business advantage deluxe 2006,elementary school success deluxe 2006,individual,,49.99,12.95
elementary school advantage 2007,elementary school success deluxe 2006,encore software,,29.99,12.95
math success deluxe 2007,elementary school success deluxe 2006,topics entertainment,,39.99,12.95
elementary school success deluxe 2006,elementary school success deluxe 2006,topics entertainment,,49.99,12.95
middle school success deluxe 2008,elementary school success deluxe 2006,topics entertainment,,49.99,12.95
math success deluxe 2008,elementary school success deluxe 2006,topics entertainment,,49.99,12.95
reference success deluxe 2006,elementary school success deluxe 2006,topics entertainment,,49.95,15.9
elementary advantage 2008,elementary school success deluxe 2006,encore software,,,15.9
phonics success deluxe 2006 ( large box ),elementary school success deluxe 2006,topics entertainment,,49.99,15.9
math success deluxe 2007,elementary school success deluxe 2006,topics entertainment,,39.99,15.9
elementary school success deluxe 2006,elementary school success deluxe 2006,topics entertainment,,49.99,15.9
math success deluxe 2006,elementary school success deluxe 2006,topics entertainment,,49.99,15.9
elementary success deluxe 2006 ( dw dvd ),elementary school success deluxe 2006,topics entertainment,,49.99,15.9
middle school success deluxe 2008,elementary school success deluxe 2006,topics entertainment,,49.99,15.9
reference success deluxe 2006,middle school success deluxe 2008 ( pc/mac ) topics,topics entertainment,,49.95,49.99
middle school success essentials,middle school success deluxe 2008 ( pc/mac ) topics,topics entertainment,,29.99,49.99
phonics success deluxe 2006 ( large box ),middle school success deluxe 2008 ( pc/mac ) topics,topics entertainment,,49.99,49.99
math success deluxe 2007,middle school success deluxe 2008 ( pc/mac ) topics,topics entertainment,,39.99,49.99
middle school advantage 2008,middle school success deluxe 2008 ( pc/mac ) topics,encore,,39.99,49.99
elementary school success deluxe 2006,middle school success deluxe 2008 ( pc/mac ) topics,topics entertainment,,49.99,49.99
elementary success deluxe 2006 ( dw dvd ),middle school success deluxe 2008 ( pc/mac ) topics,topics entertainment,,49.99,49.99
microsoft windows vista business 32-bit for system builders,microsoft windows vista ultimate retail no open box returns,microsoft,,179.99,399.99
microsoft windows vista ultimate full version [ dvd ],microsoft windows vista ultimate retail no open box returns,microsoft,,399.95,399.99
microsoft windows vista business 32-bit for system builders,microsoft windows services for netware v. 5.0 complete package,microsoft,,179.99,138.17
microsoft windows terminal server 2003 client additional license for users - 5 user,microsoft windows services for netware v. 5.0 complete package,microsoft,,669,138.17
microsoft office & windows training,microsoft windows services for netware v. 5.0 complete package,topics entertainment,,29.99,138.17
microsoft windows small business server cal 2003 license pack 20 client addpack device,microsoft windows services for netware v. 5.0 complete package,microsoft software,,,138.17
microsoft virtual pc for mac 7.0 with windows xp home,microsoft windows services for netware v. 5.0 complete package,microsoft,,219.99,138.17
microsoft windows vista ultimate upgrade [ dvd ],microsoft windows services for netware v. 5.0 complete package,microsoft,,259.95,138.17
microsoft windows server 2003 client additional license for devices 5 pack,microsoft windows services for netware v. 5.0 complete package,microsoft,,209,138.17
services for netware 5.0,microsoft windows services for netware v. 5.0 complete package,microsoft,,149,138.17
microsoft visual studio professional 2005 upgrade,nuance dragon naturallyspeaking v. 9.0 professional upgrade,microsoft software,,549,212.62
microsoft windows xp professional upgrade with sp2,nuance dragon naturallyspeaking v. 9.0 professional upgrade,microsoft software,,199.99,212.62
emc retrospect 7.5 professional for windows upgrade,nuance dragon naturallyspeaking v. 9.0 professional upgrade,dantz,,,212.62
acad upgrade dragon naturallyspeaking pro solution 9.0 ( a289a-fd7-9 .0 ),nuance dragon naturallyspeaking v. 9.0 professional upgrade,nuance academic,,399.54,212.62
peachtree by sage premium accounting 2007,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,sage software,,499.99,590.35
peachtree by sage complete accounting 2007,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,sage software,,269.99,590.35
peachtree by sage premium accounting 2007 accountants ' edition,sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,sage software,,499.99,590.35
peachtree by sage premium accounting for manufacturing 2007 multi user ( up to 5 users ),sage ( ptree ) vernfp2007rt premium accounting for nonprofits 2007,sage software,,1199.99,590.35
peachtree by sage premium accounting 2007,laser checks for peachtree ( r ) accounting for windows 8.0-2005,sage software,,499.99,106.29
peachtree by sage complete accounting 2007,laser checks for peachtree ( r ) accounting for windows 8.0-2005,sage software,,269.99,106.29
peachtree by sage pro accounting 2007,laser checks for peachtree ( r ) accounting for windows 8.0-2005,sage software,,169.99,106.29
peachtree by sage premium accounting 2007,peachtree ( r ) compatible continuous checks-office accounting 12.0,sage software,,499.99,91.59
peachtree by sage pro accounting 2007,peachtree ( r ) compatible continuous checks-office accounting 12.0,sage software,,169.99,91.59
peachtree by sage premium accounting 2007,peachtree ( r ) premium accounting 2007,sage software,,499.99,499.99
peachtree by sage complete accounting 2007,peachtree ( r ) premium accounting 2007,sage software,,269.99,499.99
peachtree by sage premium accounting for nonprofits 2007,peachtree ( r ) premium accounting 2007,sage software,,599.99,499.99
peachtree by sage pro accounting 2007,peachtree ( r ) premium accounting 2007,sage software,,169.99,499.99
peachtree by sage premium accounting 2007,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,sage software,,499.99,1180.37
peachtree by sage complete accounting 2007,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,sage software,,269.99,1180.37
peachtree by sage pro accounting 2007,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,sage software,,169.99,1180.37
peachtree by sage premium accounting 2007 accountants ' edition,sage ( ptree ) premium accounting for manufacturing 2007 multi-user,sage software,,499.99,1180.37
peachtree by sage premium accounting for manufacturing 2007 multi user ( up to 5 users ),sage ( ptree ) premium accounting for manufacturing 2007 multi-user,sage software,,1199.99,1180.37
peachtree by sage premium accounting 2007,sage ( ptree ) premium accounting accountants edition 2007,sage software,,499.99,492.01
