ltable_title,rtable_title,ltable_authors,rtable_authors,ltable_venue,rtable_venue,ltable_year,rtable_year
parametric query optimization for linear and piecewise linear cost functions,query optimization for selections using bitmaps,"s. sudarshan , arvind hulgeri",ming-chuan wu,vldb,international conference on management of data,2002,1999
sql query optimization : reordering for a general class of queries,the onion technique : indexing for linear optimization queries,"piyush goel , balakrishna r. iyer","yuan-chi chang , lawrence bergman , vittorio castelli , chung-sheng li , ming-ling lo , john r. smith",sigmod conference,international conference on management of data,1996,2000
fast evaluation techniques for complex similarity queries,the onion technique : indexing for linear optimization queries,"michael mlivoncic , roger weber , klemens böhm , hans-jörg schek","yuan-chi chang , lawrence bergman , vittorio castelli , chung-sheng li , ming-ling lo , john r. smith",vldb,international conference on management of data,2001,2000
a query language and optimization techniques for unstructured data,the onion technique : indexing for linear optimization queries,"gerd g. hillebrand , peter buneman , susan b. davidson , dan suciu","yuan-chi chang , lawrence bergman , vittorio castelli , chung-sheng li , ming-ling lo , john r. smith",sigmod conference,international conference on management of data,1996,2000
coarse-grained optimization : techniques for rewriting sql statement sequences,the onion technique : indexing for linear optimization queries,"bernhard mitschang , tobias kraft , holger schwarz , ralf rantzau","yuan-chi chang , lawrence bergman , vittorio castelli , chung-sheng li , ming-ling lo , john r. smith",vldb,international conference on management of data,2003,2000
"aquery : query language for ordered data , optimization techniques , and experiments",the onion technique : indexing for linear optimization queries,"alberto lerner , dennis shasha","yuan-chi chang , lawrence bergman , vittorio castelli , chung-sheng li , ming-ling lo , john r. smith",vldb,international conference on management of data,2003,2000
the onion technique : indexing for linear optimization queries,the onion technique : indexing for linear optimization queries,"chung-sheng li , vittorio castelli , lawrence d. bergman , john r. smith , yuan-chi chang , ming-ling lo","yuan-chi chang , lawrence bergman , vittorio castelli , chung-sheng li , ming-ling lo , john r. smith",sigmod conference,international conference on management of data,2000,2000
guidelines for presentation and comparison of indexing techniques,the onion technique : indexing for linear optimization queries,"kotagiri ramamohanarao , alistair moffat , justin zobel","yuan-chi chang , lawrence bergman , vittorio castelli , chung-sheng li , ming-ling lo , john r. smith",sigmod record,international conference on management of data,1996,2000
sql query optimization : reordering for a general class of queries,outerjoin simplification and reordering for query optimization,"piyush goel , balakrishna r. iyer","c &#233; sar galindo-legaria , arnon rosenthal",sigmod conference,acm transactions on database systems ( tods ),1996,1997
materialized view selection and maintenance using multi-query optimization,outerjoin simplification and reordering for query optimization,"krithi ramamritham , hoshi mistry , prasan roy , s. sudarshan","c &#233; sar galindo-legaria , arnon rosenthal",sigmod conference,acm transactions on database systems ( tods ),2001,1997
including group-by in query optimization,outerjoin simplification and reordering for query optimization,"surajit chaudhuri , kyuseok shim","c &#233; sar galindo-legaria , arnon rosenthal",vldb,acm transactions on database systems ( tods ),1994,1997
bringing order to query optimization,outerjoin simplification and reordering for query optimization,"giedrius slivinskas , richard t. snodgrass , christian s. jensen","c &#233; sar galindo-legaria , arnon rosenthal",sigmod record,acm transactions on database systems ( tods ),2002,1997
query processing and optimization in oracle rdb,outerjoin simplification and reordering for query optimization,"gennady antoshenkov , mohamed ziauddin","c &#233; sar galindo-legaria , arnon rosenthal",vldb j.,acm transactions on database systems ( tods ),1996,1997
exploiting statistics on query expressions for optimization,outerjoin simplification and reordering for query optimization,"nicolas bruno , surajit chaudhuri","c &#233; sar galindo-legaria , arnon rosenthal",sigmod conference,acm transactions on database systems ( tods ),2002,1997
open issues in parallel query optimization,outerjoin simplification and reordering for query optimization,"waqar hasan , patrick valduriez , daniela florescu","c &#233; sar galindo-legaria , arnon rosenthal",sigmod record,acm transactions on database systems ( tods ),1996,1997
heuristic and randomized optimization for the join ordering problem,outerjoin simplification and reordering for query optimization,"guido moerkotte , michael steinbrunn , alfons kemper","c &#233; sar galindo-legaria , arnon rosenthal",vldb j.,acm transactions on database systems ( tods ),1997,1997
learning response time for websources using query feedback and application in query optimization,outerjoin simplification and reordering for query optimization,"jean-robert gruser , vladimir zadorozhny , louiqa raschid , tao zhan","c &#233; sar galindo-legaria , arnon rosenthal",vldb j.,acm transactions on database systems ( tods ),2000,1997
sql query optimization : reordering for a general class of queries,iterative dynamic programming : a new class of query optimization algorithms,"piyush goel , balakrishna r. iyer","donald kossmann , konrad stocker",sigmod conference,acm transactions on database systems ( tods ),1996,2000
investigation of algebraic query optimisation techniques for database programming languages,iterative dynamic programming : a new class of query optimization algorithms,"alexandra poulovassilis , carol small","donald kossmann , konrad stocker",vldb,acm transactions on database systems ( tods ),1994,2000
algebraic query optimisation for database programming languages,iterative dynamic programming : a new class of query optimization algorithms,"carol small , alexandra poulovassilis","donald kossmann , konrad stocker",vldb j.,acm transactions on database systems ( tods ),1996,2000
optimization of dynamic query evaluation plans,iterative dynamic programming : a new class of query optimization algorithms,"goetz graefe , richard l. cole","donald kossmann , konrad stocker",sigmod conference,acm transactions on database systems ( tods ),1994,2000
iterative dynamic programming : a new class of query optimization algorithms,iterative dynamic programming : a new class of query optimization algorithms,"donald kossmann , konrad stocker","donald kossmann , konrad stocker",acm trans . database syst .,acm transactions on database systems ( tods ),2000,2000
design and analysis of parametric query optimization algorithms,iterative dynamic programming : a new class of query optimization algorithms,sumit ganguly,"donald kossmann , konrad stocker",vldb,acm transactions on database systems ( tods ),1998,2000
hierarchical compact cube for range-max queries,hierarchical compact cube for range-max queries,"hua-gang li , sin yeung lee , tok wang ling","sin yeung lee , tok wang ling , hua-gang li",vldb,very large data bases,2000,2000
hierarchical prefix cubes for range-sum queries,hierarchical compact cube for range-max queries,"chee yong chan , yannis e. ioannidis","sin yeung lee , tok wang ling , hua-gang li",vldb,very large data bases,1999,2000
dynamic update cube for range-sum queries,hierarchical compact cube for range-max queries,"seok-ju chun , ju-hong lee , seok-lyong lee , chin-wan chung","sin yeung lee , tok wang ling , hua-gang li",vldb,very large data bases,2001,2000
hierarchical compact cube for range-max queries,hierarchical prefix cubes for range-sum queries,"hua-gang li , sin yeung lee , tok wang ling","chee yong chan , yannis e. ioannidis",vldb,very large data bases,2000,1999
hierarchical prefix cubes for range-sum queries,hierarchical prefix cubes for range-sum queries,"chee yong chan , yannis e. ioannidis","chee yong chan , yannis e. ioannidis",vldb,very large data bases,1999,1999
dynamic update cube for range-sum queries,hierarchical prefix cubes for range-sum queries,"seok-ju chun , ju-hong lee , seok-lyong lee , chin-wan chung","chee yong chan , yannis e. ioannidis",vldb,very large data bases,2001,1999
further improvements on integrity constraint checking for stratifiable deductive databases,implementing deductive databases by mixed integer programming,"sin yeung lee , tok wang ling","colin bell , anil nerode , raymond t. ng , v. s. subrahmanian",vldb,acm transactions on database systems ( tods ),1996,1996
implementing deductive databases by mixed integer programming,implementing deductive databases by mixed integer programming,"anil nerode , colin bell , raymond t. ng , v. s. subrahmanian","colin bell , anil nerode , raymond t. ng , v. s. subrahmanian",acm trans . database syst .,acm transactions on database systems ( tods ),1996,1996
implementing database operations using simd instructions,implementing deductive databases by mixed integer programming,"kenneth a. ross , jingren zhou","colin bell , anil nerode , raymond t. ng , v. s. subrahmanian",sigmod conference,acm transactions on database systems ( tods ),2002,1996
hierarchical prefix cubes for range-sum queries,dynamic update cube for range-sum queries,"chee yong chan , yannis e. ioannidis","seok-ju chun , chin-wan chung , ju-hong lee , seok-lyong lee",vldb,very large data bases,1999,2001
hypergraph based reorderings of outer join queries with complex predicates,factorizing complex predicates in queries to exploit indexes,"gautam bhargava , balakrishna r. iyer , piyush goel","surajit chaudhuri , prasanna ganesan , sunita sarawagi",sigmod conference,international conference on management of data,1995,2003
factorizing complex predicates in queries to exploit indexes,factorizing complex predicates in queries to exploit indexes,"prasanna ganesan , sunita sarawagi , surajit chaudhuri","surajit chaudhuri , prasanna ganesan , sunita sarawagi",sigmod conference,international conference on management of data,2003,2003
hypergraph based reorderings of outer join queries with complex predicates,optimization of queries with user-defined predicates,"gautam bhargava , balakrishna r. iyer , piyush goel","surajit chaudhuri , kyuseok shim",sigmod conference,very large data bases,1995,1996
optimizing the secure evaluation of twig queries,optimization of queries with user-defined predicates,"sihem amer-yahia , divesh srivastava , sungran cho , laks v. s. lakshmanan","surajit chaudhuri , kyuseok shim",vldb,very large data bases,2002,1996
minimization of tree pattern queries,optimization of queries with user-defined predicates,"sihem amer-yahia , divesh srivastava , laks v. s. lakshmanan , sungran cho","surajit chaudhuri , kyuseok shim",sigmod conference,very large data bases,2001,1996
optimizing disjunctive queries with expensive predicates,optimization of queries with user-defined predicates,"alfons kemper , guido moerkotte , michael steinbrunn , klaus peithner","surajit chaudhuri , kyuseok shim",sigmod conference,very large data bases,1994,1996
query optimization by predicate move-around,optimization of queries with user-defined predicates,"inderpal singh mumick , alon y. levy , yehoshua sagiv","surajit chaudhuri , kyuseok shim",vldb,very large data bases,1994,1996
optimization techniques for queries with expensive methods,optimization of queries with user-defined predicates,joseph m. hellerstein,"surajit chaudhuri , kyuseok shim",acm trans . database syst .,very large data bases,1998,1996
on the minimization of xpath queries,optimization of queries with user-defined predicates,"elio masciari , sergio flesca , filippo furfaro","surajit chaudhuri , kyuseok shim",vldb,very large data bases,2003,1996
optimization of queries with user-defined predicates,optimization of queries with user-defined predicates,"surajit chaudhuri , kyuseok shim","surajit chaudhuri , kyuseok shim",vldb,very large data bases,1996,1996
optimizing queries on files,optimization of queries with user-defined predicates,"tova milo , mariano p. consens","surajit chaudhuri , kyuseok shim",sigmod conference,very large data bases,1994,1996
hypergraph based reorderings of outer join queries with complex predicates,stream processing of xpath queries with predicates,"gautam bhargava , balakrishna r. iyer , piyush goel","ashish kumar gupta , dan suciu",sigmod conference,international conference on management of data,1995,2003
processing complex aggregate queries over data streams,stream processing of xpath queries with predicates,"alin dobra , johannes gehrke , rajeev rastogi , minos n. garofalakis","ashish kumar gupta , dan suciu",sigmod conference,international conference on management of data,2002,2003
optimizing disjunctive queries with expensive predicates,stream processing of xpath queries with predicates,"alfons kemper , guido moerkotte , michael steinbrunn , klaus peithner","ashish kumar gupta , dan suciu",sigmod conference,international conference on management of data,1994,2003
optimization of queries with user-defined predicates,stream processing of xpath queries with predicates,"kyuseok shim , surajit chaudhuri","ashish kumar gupta , dan suciu",acm trans . database syst .,international conference on management of data,1999,2003
optimization of queries with user-defined predicates,stream processing of xpath queries with predicates,"surajit chaudhuri , kyuseok shim","ashish kumar gupta , dan suciu",vldb,international conference on management of data,1996,2003
the aditi deductive database system,space optimization in deductive databases,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",vldb j.,acm transactions on database systems ( tods ),1994,1995
an introduction to spatial database systems,space optimization in deductive databases,ralf hartmut güting,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",vldb j.,acm transactions on database systems ( tods ),1994,1995
temporal aggregation in active database rules,space optimization in deductive databases,"iakovos motakis , carlo zaniolo","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",sigmod conference,acm transactions on database systems ( tods ),1997,1995
selectivity estimation in spatial databases,space optimization in deductive databases,"viswanath poosala , sridhar ramaswamy , swarup acharya","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",sigmod conference,acm transactions on database systems ( tods ),1999,1995
query optimization in compressed database systems,space optimization in deductive databases,"zhiyuan chen , flip korn , johannes gehrke","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",sigmod conference,acm transactions on database systems ( tods ),2001,1995
space optimization in deductive databases,space optimization in deductive databases,"s. sudarshan , divesh srivastava , raghu ramakrishnan , jeffrey f. naughton","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",acm trans . database syst .,acm transactions on database systems ( tods ),1995,1995
heterogeneous database query optimization in db2 universal datajoiner,space optimization in deductive databases,"shivakumar venkataraman , tian zhang","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",vldb,acm transactions on database systems ( tods ),1998,1995
tail recursion elimination in deductive databases,space optimization in deductive databases,kenneth a. ross,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",acm trans . database syst .,acm transactions on database systems ( tods ),1996,1995
xsb as a deductive database,space optimization in deductive databases,"terrance swift , konstantinos f. sagonas , david scott warren","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",sigmod conference,acm transactions on database systems ( tods ),1994,1995
query evaluation in deductive databases with alternating fixpoint semantics,space optimization in deductive databases,weidong chen,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",acm trans . database syst .,acm transactions on database systems ( tods ),1995,1995
some issues in design of distributed deductive databases,space optimization in deductive databases,"nandlal l. sarda , mukesh k. mohania","divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",vldb,acm transactions on database systems ( tods ),1994,1995
belief reasoning in mls deductive databases,space optimization in deductive databases,hasan m. jamil,"divesh srivastava , s. sudarshan , raghu ramakrishnan , jeffrey f. naughton",sigmod conference,acm transactions on database systems ( tods ),1999,1995
the aditi deductive database system,the prototype of the dare system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","tiziana catarci , giuseppe santucci",vldb j.,international conference on management of data,1994,2001
the coral deductive system,the prototype of the dare system,"raghu ramakrishnan , s. sudarshan , divesh srivastava , praveen seshadri","tiziana catarci , giuseppe santucci",vldb j.,international conference on management of data,1994,2001
the ecrc multi database system,the prototype of the dare system,"heribert schütz , willem jonker","tiziana catarci , giuseppe santucci",sigmod conference,international conference on management of data,1995,2001
the oasis multidatabase prototype,the prototype of the dare system,"john murphy , mark roantree , wilhelm hasselbring","tiziana catarci , giuseppe santucci",sigmod record,international conference on management of data,1999,2001
the samos active dbms prototype,the prototype of the dare system,"klaus r. dittrich , stella gatziu , andreas geppert","tiziana catarci , giuseppe santucci",sigmod conference,international conference on management of data,1995,2001
the aditi deductive database system,metu interoperable database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",vldb j.,international conference on management of data,1994,1996
the mlpq/gis constraint database system,metu interoperable database system,"yuguo liu , yiming li , pradip kanjamala , rui chen , yonghui wang , peter z. revesz","asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",sigmod conference,international conference on management of data,2000,1996
a language based multidatabase system,metu interoperable database system,"konrad schwarz , eva kühn , thomas tschernko","asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",sigmod conference,international conference on management of data,1994,1996
the ecrc multi database system,metu interoperable database system,"heribert schütz , willem jonker","asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",sigmod conference,international conference on management of data,1995,1996
metu interoperable database system,metu interoperable database system,"ebru kilic , pinar koksal , cem evrendilek , ugur halici , sema mancuhan , n. kesim , asuman dogac , cevdet dengi , sena nural , gökhan özhan , fatma ozcan , ismailcem budak arpinar","asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",sigmod record,international conference on management of data,1995,1996
the ccube constraint object-oriented database system,metu interoperable database system,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen","asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",sigmod conference,international conference on management of data,1999,1996
parallel database systems 101,metu interoperable database system,jim gray,"asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",sigmod conference,international conference on management of data,1995,1996
probview : a flexible probabilistic database system,metu interoperable database system,"nicola leone , robert ross , laks v. s. lakshmanan , v. s. subrahmanian","asuman dogac , ugur halici , ebru kilic , gokhan ozhan , fatma ozcan , sena nural , cevdet dengi , sema mancuhan , budak arpinar , pinar koksal , cem evrendilek",acm trans . database syst .,international conference on management of data,1997,1996
the aditi deductive database system,the active database management system manifesto : a rulebase of adbms features,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",corporate act-net consortium,vldb j.,acm sigmod record,1994,1996
constructing the next 100 database management systems,the active database management system manifesto : a rulebase of adbms features,"andreas geppert , klaus r. dittrich",corporate act-net consortium,sigmod record,acm sigmod record,1994,1996
the network is the database : data management for highly distributed systems,the active database management system manifesto : a rulebase of adbms features,"michael j. wynblatt , julio c. navas",corporate act-net consortium,sigmod conference,acm sigmod record,2001,1996
bigsur : a system for the management of earth science data,the active database management system manifesto : a rulebase of adbms features,"paul brown , michael stonebraker",corporate act-net consortium,vldb,acm sigmod record,1995,1996
the aditi deductive database system,metu interoperable database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",vldb j.,acm sigmod record,1994,1995
the mlpq/gis constraint database system,metu interoperable database system,"yuguo liu , yiming li , pradip kanjamala , rui chen , yonghui wang , peter z. revesz","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",sigmod conference,acm sigmod record,2000,1995
languages for multi-database interoperability,metu interoperable database system,"laks v. s. lakshmanan , frédéric gingras , nematollaah shiri , despina papoulis , iyer n. subramanian","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",sigmod conference,acm sigmod record,1997,1995
a language based multidatabase system,metu interoperable database system,"konrad schwarz , eva kühn , thomas tschernko","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",sigmod conference,acm sigmod record,1994,1995
the ecrc multi database system,metu interoperable database system,"heribert schütz , willem jonker","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",sigmod conference,acm sigmod record,1995,1995
the ccube constraint object-oriented database system,metu interoperable database system,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",sigmod conference,acm sigmod record,1999,1995
disima : a distributed and interoperable image database system,metu interoperable database system,"vincent oria , benjamin bin yao , shu lin , paul iglinski , m. tamer özsu","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",sigmod conference,acm sigmod record,2000,1995
metu interoperable database system,metu interoperable database system,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",sigmod conference,acm sigmod record,1996,1995
probview : a flexible probabilistic database system,metu interoperable database system,"nicola leone , robert ross , laks v. s. lakshmanan , v. s. subrahmanian","a. dogac , c. dengi , e. kilic , g. ozhan , f. ozcan , s. nural , c. evrendilek , u. halici , b. arpinar , p. koksal , n. kesim , s. mancuhan",acm trans . database syst .,acm sigmod record,1997,1995
the aditi deductive database system,a language based multidatabase system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","eva k &#252; hn , thomas tschernko , konrad schwarz",vldb j.,international conference on management of data,1994,1994
languages for multi-database interoperability,a language based multidatabase system,"laks v. s. lakshmanan , frédéric gingras , nematollaah shiri , despina papoulis , iyer n. subramanian","eva k &#252; hn , thomas tschernko , konrad schwarz",sigmod conference,international conference on management of data,1997,1994
a language based multidatabase system,a language based multidatabase system,"konrad schwarz , eva kühn , thomas tschernko","eva k &#252; hn , thomas tschernko , konrad schwarz",sigmod conference,international conference on management of data,1994,1994
on the costs of multilingualism in database systems,a language based multidatabase system,"a. kumaran , jayant r. haritsa","eva k &#252; hn , thomas tschernko , konrad schwarz",vldb,international conference on management of data,2003,1994
the ecrc multi database system,a language based multidatabase system,"heribert schütz , willem jonker","eva k &#252; hn , thomas tschernko , konrad schwarz",sigmod conference,international conference on management of data,1995,1994
metu interoperable database system,a language based multidatabase system,"ebru kilic , pinar koksal , cem evrendilek , ugur halici , sema mancuhan , n. kesim , asuman dogac , cevdet dengi , sena nural , gökhan özhan , fatma ozcan , ismailcem budak arpinar","eva k &#252; hn , thomas tschernko , konrad schwarz",sigmod record,international conference on management of data,1995,1994
the multidimensional database system rasdaman,a language based multidatabase system,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado","eva k &#252; hn , thomas tschernko , konrad schwarz",sigmod conference,international conference on management of data,1998,1994
"olap , relational , and multidimensional database systems",a language based multidatabase system,george colliat,"eva k &#252; hn , thomas tschernko , konrad schwarz",sigmod record,international conference on management of data,1996,1994
smooth - a distributed multimedia database system,a language based multidatabase system,"christian hanin , roland tusch , carmen riedler , harald kosch , margit lang , lászló böszörményi , christian hofbauer , alexander bachlechner","eva k &#252; hn , thomas tschernko , konrad schwarz",vldb,international conference on management of data,2001,1994
concurrency control in hierarchical multidatabase systems,a language based multidatabase system,"henry f. korth , abraham silberschatz , sharad mehrotra","eva k &#252; hn , thomas tschernko , konrad schwarz",vldb j.,international conference on management of data,1997,1994
a multidatabase system for tracking and retrieval of financial data,a language based multidatabase system,"munir cochinwala , john bradley","eva k &#252; hn , thomas tschernko , konrad schwarz",vldb,international conference on management of data,1994,1994
the aditi deductive database system,the mlpq/gis constraint database system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",vldb j.,international conference on management of data,1994,2000
the mariposa distributed database management system,the mlpq/gis constraint database system,jeff sidell,"peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",sigmod record,international conference on management of data,1996,2000
the ores temporal database management system,the mlpq/gis constraint database system,"babis theodoulidis , george karvelis , jayant chaudhary , aziz ait-braham , simon sou , george andrianopoulos","peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",sigmod conference,international conference on management of data,1994,2000
safe query languages for constraint databases,the mlpq/gis constraint database system,peter z. revesz,"peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",acm trans . database syst .,international conference on management of data,1998,2000
the ccube constraint object-oriented database system,the mlpq/gis constraint database system,"alexander brodsky , pavel a. exarkhopoulo , victor e. segal , jia chen","peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",sigmod conference,international conference on management of data,1999,2000
the multidimensional database system rasdaman,the mlpq/gis constraint database system,"andreas dehmel , peter baumann , norbert widmann , roland ritsch , paula furtado","peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",sigmod conference,international conference on management of data,1998,2000
temporal conditions and integrity constraints in active database systems,the mlpq/gis constraint database system,"ouri wolfson , a. prasad sistla","peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",sigmod conference,international conference on management of data,1995,2000
metu interoperable database system,the mlpq/gis constraint database system,"sema mancuhan , ismailcem budak arpinar , fatma ozcan , pinar koksal , asuman dogac , gökhan özhan , cevdet dengi , ugur halici , cem evrendilek , sena nural , ebru kilic","peter revesz , rui chen , pradip kanjamala , yiming li , yuguo liu , yonghui wang",sigmod conference,international conference on management of data,1996,2000
the aditi deductive database system,the coral deductive system,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi","raghu ramakrishnan , divesh srivastava , s. sudarshan , praveen seshadri",vldb j.,the vldb journal -- the international journal on very large data bases,1994,1994
the prototype of the dare system,the coral deductive system,"tiziana catarci , giuseppe santucci","raghu ramakrishnan , divesh srivastava , s. sudarshan , praveen seshadri",sigmod conference,the vldb journal -- the international journal on very large data bases,2001,1994
the lotus notes storage system,the coral deductive system,kenneth moore,"raghu ramakrishnan , divesh srivastava , s. sudarshan , praveen seshadri",sigmod conference,the vldb journal -- the international journal on very large data bases,1995,1994
the aditi deductive database system,parallel database systems in the 1990 's,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",michael j. carey,vldb j.,international conference on management of data,1994,1994
foundations of preferences in database systems,parallel database systems in the 1990 's,werner kie_ling,michael j. carey,vldb,international conference on management of data,2002,1994
an introduction to spatial database systems,parallel database systems in the 1990 's,ralf hartmut güting,michael j. carey,vldb j.,international conference on management of data,1994,1994
analysis of locking behavior in three real database systems,parallel database systems in the 1990 's,"alan jay smith , vigyan singhal",michael j. carey,vldb j.,international conference on management of data,1997,1994
data placement in shared-nothing parallel database systems,parallel database systems in the 1990 's,"manish mehta , david j. dewitt",michael j. carey,vldb j.,international conference on management of data,1997,1994
advances in real-time database systems research,parallel database systems in the 1990 's,azer bestavros,michael j. carey,sigmod record,international conference on management of data,1996,1994
schema and database evolution in the o2 object database system,parallel database systems in the 1990 's,"fabrizio ferrandina , guy ferran , thorsten meyer , roberto zicari , joëlle madec",michael j. carey,vldb,international conference on management of data,1995,1994
on the costs of multilingualism in database systems,parallel database systems in the 1990 's,"a. kumaran , jayant r. haritsa",michael j. carey,vldb,international conference on management of data,2003,1994
dynamic load balancing in hierarchical parallel database systems,parallel database systems in the 1990 's,"luc bouganim , daniela florescu , patrick valduriez",michael j. carey,vldb,international conference on management of data,1996,1994
paradise : a database system for gis applications,parallel database systems in the 1990 's,paradise team,michael j. carey,sigmod conference,international conference on management of data,1995,1994
database management systems and the internet,parallel database systems in the 1990 's,susan malaika,michael j. carey,vldb,international conference on management of data,1996,1994
managing intra-operator parallelism in parallel database systems,parallel database systems in the 1990 's,"david j. dewitt , manish mehta",michael j. carey,vldb,international conference on management of data,1995,1994
pc database systems - present and future,parallel database systems in the 1990 's,philip a. bernstein,michael j. carey,vldb,international conference on management of data,1994,1994
database systems - breaking out of the box,parallel database systems in the 1990 's,"abraham silberschatz , stanley b. zdonik",michael j. carey,sigmod record,international conference on management of data,1997,1994
the aditi deductive database system,parallel database systems 101,"kotagiri ramamohanarao , david b. kemp , jayen vaghani , tim s. leask , james harland , peter j. stuckey , zoltan somogyi",jim gray,vldb j.,international conference on management of data,1994,1995
an introduction to spatial database systems,parallel database systems 101,ralf hartmut güting,jim gray,vldb j.,international conference on management of data,1994,1995
data placement in shared-nothing parallel database systems,parallel database systems 101,"manish mehta , david j. dewitt",jim gray,vldb j.,international conference on management of data,1997,1995
mpeg-7 and multimedia database systems,parallel database systems 101,harald kosch,jim gray,sigmod record,international conference on management of data,2002,1995
the ecrc multi database system,parallel database systems 101,"heribert schütz , willem jonker",jim gray,sigmod conference,international conference on management of data,1995,1995
