ltable_Beer_Name,rtable_Beer_Name,ltable_Brew_Factory_Name,rtable_Brew_Factory_Name,ltable_Style,rtable_Style,ltable_ABV,rtable_ABV
Red Hopper ( Imperial Red Ale ),Proof Abandoned Planet Imperial Red Ale,Black Acre Brewing Co. .,Proof Brewing Company,American Amber / Red Ale,Amber Ale,6.20%,7.50%
Ale Mania Imperial Red Ale,Proof Abandoned Planet Imperial Red Ale,Ale-Mania,Proof Brewing Company,American Amber / Red Ale,Amber Ale,9.50%,7.50%
Red Dragon Imperial Red Ale,Proof Abandoned Planet Imperial Red Ale,Dead Frog Brewing,Proof Brewing Company,American Amber / Red Ale,Amber Ale,8.00%,7.50%
Three Beavers Imperial Red Ale,406 Imperial Red Ale,Howe Sound Inn & Brewing Company,406 Brewing Company,American Amber / Red Ale,American Strong Ale,7.50%,9.20%
Double Dread Imperial Red Ale,406 Imperial Red Ale,Mad River Brewing Company,406 Brewing Company,American Amber / Red Ale,American Strong Ale,8.60%,9.20%
Deranger Imperial Red Ale,406 Imperial Red Ale,Laurelwood Public House & Brewery,406 Brewing Company,American Amber / Red Ale,American Strong Ale,8.60%,9.20%
Three Beavers Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,Howe Sound Inn & Brewing Company,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,7.50%,8.50%
Deranger Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,Laurelwood Public House & Brewery,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,8.60%,8.50%
Brewmaster 's Reserve Imperial Red Ale,Renegade Scarlett Letter Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,Renegade Brewing Company,American Amber / Red Ale,American Strong Ale,9.20%,8.50%
Three Beavers Imperial Red Ale,Scuttlebutt Mateo Loco Imperial Red Ale,Howe Sound Inn & Brewing Company,Scuttlebutt Brewing Co. .,American Amber / Red Ale,American Strong Ale,7.50%,7.10%
Double Dread Imperial Red Ale,Scuttlebutt Mateo Loco Imperial Red Ale,Mad River Brewing Company,Scuttlebutt Brewing Co. .,American Amber / Red Ale,American Strong Ale,8.60%,7.10%
Red Dragon Smoked Amber Ale,Baird Smoked Amber Ale,Hoppy Brewing Co. .,Baird Brewing Co. .,American Amber / Red Ale,Smoked,5.50%,-
Red Dragon Smoked Amber Ale,Kilted Dragon Bonnie Heather Amber Ale,Hoppy Brewing Co. .,Kilted Dragon Brewing Company,American Amber / Red Ale,Amber Ale,5.50%,5%
Mr. Grain Jeans Organic Amber Ale,Squatters Respect Your Mother Organic Amber Ale,Outpost Natural Foods,Squatters Craft Beers,American Amber / Red Ale,Amber Ale,5.50%,4%
Smuttynose Kindest Find Imperial Red Ale,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Smuttynose Brewing Company,Kettle House Brewing Company,American Amber / Red Ale,American Strong Ale,8.50%,13%
Road Rash Red,Kettle House Bourbon Barrel Road Rash Imperial Red Ale,Tandem Brewing Company,Kettle House Brewing Company,American Amber / Red Ale,American Strong Ale,6.00%,13%
Pizza Orgasmica Amber Ale,Pizza Port Acacia Amber Ale,Devil 's Canyon Brewing Company,Pizza Port &#40; Solana Beach &#41;,American Amber / Red Ale,Belgian Ale,6.50%,-
Iron Mike 's Amber Ale,Railway City Iron Spike Amber Ale,Jacob Leinenkugel Brewing Company,Railway City Brewing Company,American Amber / Red Ale,Amber Ale,-,4.60%
Lagunitas Imperial Red Ale,Pizza Port Rhino Chaser Imperial Red Ale,Lagunitas Brewing Company,Pizza Port &#40; Ocean Beach &#41;,American Amber / Red Ale,American Strong Ale,7.80%,9.50%
Port Chester Red Ale,Pizza Port Rhino Chaser Imperial Red Ale,Greenpoint Beerworks / Kelso of Brooklyn,Pizza Port &#40; Ocean Beach &#41;,American Amber / Red Ale,American Strong Ale,5.50%,9.50%
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Pizza Port Rhino Chaser Imperial Red Ale,Charging Hippo Brewing Co. .,Pizza Port &#40; Ocean Beach &#41;,American Amber / Red Ale,American Strong Ale,8.20%,9.50%
Photobomb Imperial Red Ale,Howe Sound Three Beavers Imperial Red Ale,Crooked Ladder Brewing Company,Howe Sound Brewing,American Amber / Red Ale,American Strong Ale,8.50%,7.50%
Red Rocket Amber Ale,Blue Cat Red Toad Amber Ale,Third Base Sports Bar & Brewery,Blue Cat Brew Pub,American Amber / Red Ale,Premium Bitter/ESB,6.40%,5.70%
Red Rocket Amber Ale,Red Duck Amber Ale,Third Base Sports Bar & Brewery,Purrumbete Brewing,American Amber / Red Ale,Amber Ale,6.40%,4.80%
Eruption Imperial Red Ale,De Koninck TSTBRW 01 Imperial Red Ale,Worthy Brewing Co. .,Brouwerij De Koninck &#40; Duvel-Moortgat &#41;,American Amber / Red Ale,American Strong Ale,8.00%,7.80%
The `` Ginger '' A Red Ale,The Beer Company Wyatt Earp Red Ale,Elk Street Brewery & Tap Room,The Beer Company,American Amber / Red Ale,Irish Ale,6.80%,7%
North 45 Amber Ale,Thirsty Pagan North Coast Amber Ale,Petoskey Brewing Company,Thirsty Pagan Brewing,American Amber / Red Ale,Amber Ale,5.80%,-
Red 's On Vacation,Barley Johns Reds on Vacation,Barley John 's Brew Pub,Barley Johns Brew Pub,American Amber / Red Ale,Amber Ale,5.44%,5.44%
Old Cellar Dweller,Driftwood Old Cellar Dweller Barleywine,Driftwood Brewery,Driftwood Brewery &#40; Canada &#41;,American Barleywine,Barley Wine,11.60%,14%
Red Hopper ( Imperial Red Ale ),Worthy Eruption Imperial Red Ale,Black Acre Brewing Co. .,Worthy Brewing Company,American Amber / Red Ale,American Strong Ale,6.20%,8%
Starfish Imperial Red Ale,Worthy Eruption Imperial Red Ale,Fish Brewing Company / Fishbowl Brewpub,Worthy Brewing Company,American Amber / Red Ale,American Strong Ale,7.50%,8%
Sons Of Anarchy Amber Ale,Sudwerk Sons Of Anarchy Amber Ale,Sudwerk Brewing Company,Sudwerk Brewing Company,American Amber / Red Ale,Amber Ale,4.70%,4.70%
Eldred Rock Amber,Haines Eldred Rock Amber,Haines Brewing Company,Haines Brewing Co. .,American Amber / Red Ale,Amber Ale,5.00%,5%
Blood On The Blade Red IPA,Bacchus / Burrow Bloodhound Blood Red IPA,Backpocket Brewing,Bacchus Brewing Company &#40; Australia &#41;,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,7.00%,6%
My Hoppy Valentine,Excel My Hoppy Valentine,Excel Brewing Company,Excel Brewing Company,American Amber / Red Ale,Amber Ale,6.50%,6.50%
Deranger Imperial Red Ale,Brannon_s Deputation Imperial Red Ale,Laurelwood Public House & Brewery,Brannon_s Pub and Brewery,American Amber / Red Ale,American Strong Ale,8.60%,8.79%
Bulleit Bourbon Barrel Aged G'Knight,Lompoc Bourbon Barrel Aged Old Tavern Rat,Oskar Blues Grill & Brew,Lompoc Brewing,American Amber / Red Ale,Barley Wine,8.70%,9.70%
Big V Amber Ale,Big Texan Texas Red Amber Ale,FreeWheel Brewing Company,Big Texan Brewery,American Amber / Red Ale,Amber Ale,4.00%,4.50%
Big Horn Buttface Amber Ale,Big Texan Texas Red Amber Ale,C.B. & Potts,Big Texan Brewery,American Amber / Red Ale,Amber Ale,-,4.50%
Big V Amber Ale,Heinzelmannchen Big Amber Gnome Ale,FreeWheel Brewing Company,Heinzelmannchen Brewery,American Amber / Red Ale,Amber Ale,4.00%,8%
Big V Amber Ale,Big Axe Maple Wheat Amber Ale,FreeWheel Brewing Company,Big Axe Brewery and B & B,American Amber / Red Ale,Amber Ale,4.00%,5%
5 Star Amber Ale,Blue Star Apache Amber Ale,The Civil Life Brewing Company,Blue Star Brewing Co. .,American Amber / Red Ale,Amber Ale,5.00%,-
Barrel Aged Imperial Red,Imperial Oak Barrel Aged Odin_s Beard,Hale 's Ales Brewery & Pub,Imperial Oak Brewing,American Amber / Red Ale,American Strong Ale,9.00%,9%
Mountian Goat Rare Breed India Red Ale,Hammond River Red Coat India Red Ale,Mountain Goat Beer Pty Ltd,Hammond River Brewing,American Amber / Red Ale,Amber Ale,6.60%,6.50%
Belle Gueule Rousse,Belle Gueule Rousse,Brasseurs R.J.,Brasseurs RJ,American Amber / Red Ale,Amber Lager/Vienna,5.20%,5.20%
Red Rock Amber Ale,Slanted Rock Iron Butt Red Ale,OPA-OPA Steakhouse & Brewery,Slanted Rock Brewing Company,American Amber / Red Ale,Amber Ale,6.00%,5.80%
Ise Kadoya Amber Ale,Ise Kadoya Amarillo Amber Ale,Nikenjayamochi Kadoya Honten Co. / Ise Kadoya Brewery,Ise Kadoya,American Amber / Red Ale,Amber Ale,4.50%,-
Molly American Red Ale,Big Time Lift Ticket American Red Ale,New Helvetia Brewing Company,Big Time Brewery,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,5.00%,7%
Molly American Red Ale,Genesee Brew House American Red Ale,New Helvetia Brewing Company,Genesee Brewing Company &#40; North American Breweries &#41;,American Amber / Red Ale,Amber Ale,5.00%,5%
Barbarian Red Ale,Barbarian Red Ale,Cervecer_a Barbarian,Cervecer_a Barbarian,American Amber / Red Ale,Amber Ale,6.50%,6.50%
Barrel Aged Series : Barley Wine,Elevator Barrel Aged Barley Wine,Parallel 49 Brewing Company,Elevator Brewing Company,American Barleywine,Barley Wine,11.80%,-
Barrel Aged Series : Barley Wine,Hangar 24 Barrel Roll No. 04 : Hammerhead - Barrel Aged Barley Wine,Parallel 49 Brewing Company,Hangar 24 Craft Brewery,American Barleywine,Barley Wine,11.80%,11.20%
West Sixth / Country Boy Country Western ( Volume 3 Imperial Red Ale ),Figueroa Mountain / Pizza Port Shark Lips Imperial Red Ale,West Sixth Brewing Company,Figueroa Mountain Brewing,American Amber / Red Ale,American Strong Ale,13.00%,8%
Shark Attack Double Red Ale,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,Port Brewing,Midnight Sun Brewing Company,American Amber / Red Ale,Amber Ale,9.00%,7.50%
Double Red Ale,Midnight Sun Unite Double Red Hot Ale &#40; 2015 &#41;,The Seven Barrel Brewery,Midnight Sun Brewing Company,American Amber / Red Ale,Amber Ale,8.20%,7.50%
Barrel Aged Riverside Red,Blue Pants Big & Tall # 2 : Barrel Aged Belgian Red,Intuition Ale Works,Blue Pants Brewery,American Amber / Red Ale,Amber Ale,7.80%,9%
Oatmeal Amber Ale,John Harvards Oatmeal Amber Ale,Ornery Beer Company Public House,John Harvard_s Brewhouse &#40; Corporate Office &#41;,American Amber / Red Ale,Amber Ale,5.70%,6.50%
Vital Infrared Imperial Red,Vital Infrared Imperial Red,Vital Brewing,Vital Brewing,American Amber / Red Ale,American Strong Ale,9.40%,9.40%
Rip Saw Red,Pints Rip Saw Red,Pints Brewing Co. .,Pints Brewing Company,American Amber / Red Ale,Amber Ale,6.50%,5.90%
Panama Limited Red Ale,Flossmoor Station Barrel Aged Panama Limited Red Ale,Flossmoor Station Restaurant & Brewery,Flossmoor Station Restaurant & Brewery,American Amber / Red Ale,Amber Ale,-,6.50%
Buffalo Soul Jah Imperial Red Ale,Iron Horse Fresh Hop Imperial Red Ale,Three Heads Brewing,Iron Horse Brewery,American Amber / Red Ale,American Strong Ale,9.20%,-
Starlord 's Mixtape / Groot Drank Imperial Red Ale,Iron Horse Fresh Hop Imperial Red Ale,Charging Hippo Brewing Co. .,Iron Horse Brewery,American Amber / Red Ale,American Strong Ale,8.20%,-
Phobos Single Hop Red Ale,Iron Horse Fresh Hop Imperial Red Ale,Ecliptic Brewing,Iron Horse Brewery,American Amber / Red Ale,American Strong Ale,7.40%,-
American Red Ale,Americas American Red Ale,Rock Art Brewery,Americas Brewpub,American Amber / Red Ale,Amber Ale,4.80%,-
Morrisons American Red Ale,Americas American Red Ale,Titanic Brewery,Americas Brewpub,American Amber / Red Ale,Amber Ale,4.50%,-
Big Bully Amber Ale,Big Time Atlas Amber Ale,Edge Brewing,Big Time Brewery,American Amber / Red Ale,Amber Ale,5.00%,5.40%
Sequoia American Amber Ale,Aarhus Cains Triple A American Amber Ale,Wig And Pen,Aarhus Bryghus,American Amber / Red Ale,Amber Ale,5.90%,5.50%
Sequoia American Amber Ale,Canal Park General Sterling Price American Amber Ale - Centennial,Wig And Pen,Canal Park Brewing Company,American Amber / Red Ale,Amber Ale,5.90%,4.80%
Weekender American Amber Ale,Canal Park General Sterling Price American Amber Ale - Centennial,Stilt House Brewery,Canal Park Brewing Company,American Amber / Red Ale,Amber Ale,5.20%,4.80%
Mad Anthony Muddy River Amber Ale,Mad River Jamaica Red Ale,Mad Anthony Brewing Company,Mad River Brewery,American Amber / Red Ale,Amber Ale,-,6.50%
Simeon Jones River Valley Amber Ale,Piney River McKinney Eddy Amber Ale,Picaroons Brewing Co. .,Piney River Brewing Company,American Amber / Red Ale,Amber Ale,4.50%,-
Wasatch 50th Park City Golden Anniversary Ale,Golden City Centurion Barleywine Ale,Utah Brewers Cooperative,Golden City Brewery,American Amber / Red Ale,Barley Wine,4.00%,11.20%
Regimental 80 Scottish Ale,Crooked Eye Regimental 80 Scottish Ale,Crooked Eye Brewery,Crooked Eye Brewery,American Amber / Red Ale,Scottish Ale,4.70%,4.70%
Dream Of The 90 's,Prohibition Pig Dream of the 90s,Prohibition Pig,Prohibition Pig,American Amber / Red Ale,Amber Ale,6.10%,-
Fullers Traitors ' Gate,Fuller_s Traitor_s Gate,Fuller Smith & Turner PLC,Fuller_s,American Amber / Red Ale,Bitter,4.50%,4.50%
Blarney Rock Irish Ale,Rockyard Blarney Rock Irish Ale,Rockyard Brewing,Rockyard Brewing Company,American Amber / Red Ale,Irish Ale,6.00%,-
Aiken American Red Pale Ale,Blue Heron Corey_s American Pale Ale &#40; C.A.P.A. &#41;,Aiken Brewing Company,Blue Heron Brewpub,American Amber / Red Ale,American Pale Ale,-,6.20%
Aiken American Red Pale Ale,Wild Ride 3 Sisters American Red Ale,Aiken Brewing Company,Wild Ride Brewing,American Amber / Red Ale,Amber Ale,-,6%
Big Bear Amber Ale,Big Horn Buttface Amber Ale,Stewart 's Brewing Co. .,Big Horn Brewing Company &#40; Ram International &#41;,American Amber / Red Ale,Amber Ale,5.60%,5.80%
Great Lakes Independence Ale,Amsterdam X Sawdust City X Great Lakes X Indie Ale Barley Wine &#40; Oak &#41;,Great Lakes Brewing Co. .,Amsterdam Brewing Company,American Amber / Red Ale,Barley Wine,6.00%,10%
Shirt Tail Amber,Iron Hill Shirt Tail Amber,Iron Hill Brewery & Restaurant,Iron Hill Maple Shade,American Amber / Red Ale,Amber Ale,4.40%,4.40%
Desert Island Series : American Honey Amber Ale,Granville Island Gastown Amber Ale,Heavy Seas Beer,Granville Island &#40; Brewery - MolsonCoors &#41;,American Amber / Red Ale,Amber Ale,4.90%,5.50%
Hurricane Alley Amber Ale,Charleville Tornado Alley Amber Ale,Florida Beer Company,Charleville Vineyard & Microbrewery,American Amber / Red Ale,Amber Ale,-,-
Brewmaster 's Reserve Imperial Red Ale,Rusty Truck Stupiphany Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,Rusty Truck Brewing / Roadhouse 101,American Amber / Red Ale,American Strong Ale,9.20%,8%
Red Headed Slut Amber Ale,Baird Red Rose Amber Ale,Twisted K-8 Brewing Company,Baird Brewing Co. .,American Amber / Red Ale,California Common,6.50%,5.40%
Red Headed Slut Amber Ale,Trailhead Red Amber Ale,Twisted K-8 Brewing Company,Trailhead Brewing Co. .,American Amber / Red Ale,Amber Ale,6.50%,-
Frost Quake Bourbon Barrel Aged Barley Wine,Hangar 24 Barrel Roll No. 04 : Hammerhead - Bourbon Barrel Aged with Chai Tea,Wellington County Brewery,Hangar 24 Craft Brewery,American Barleywine,Barley Wine,9.80%,13.90%
Bourbon Barrel Aged Horus Imperial Red,Legacy Bourbon Barrel Hedonism Red,Elevator Brewery & Draught Haus,Legacy Brewing,American Amber / Red Ale,American Strong Ale,12.00%,7.10%
Rocky Mountain Red Ale,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Grand Lake Brewing Company,Crazy Mountain Brewing Company,American Amber / Red Ale,Amber Ale,-,6%
Boohai Red Ale,Crazy Mountain Boohai Red Ale &#40; Kura Koa &#41;,Crazy Mountain Brewing Company,Crazy Mountain Brewing Company,American Amber / Red Ale,Amber Ale,6.00%,6%
Alaskan Barley Wine ( Pilot Series ),Hermit Thrush Abbey Series # 1 - Jolly Abbot Barley Wine,Alaskan Brewing Co. .,Hermit Thrush Brewery,American Barleywine,Barley Wine,10.70%,13%
Double Mongrel Imperial India Red Ale,Boxing Cat Firecracker Imperial Red Ale,Aspetuck Brew Lab,Boxing Cat Brewery,American Amber / Red Ale,Amber Ale,9.00%,6.60%
Fisherman 's Tea Party,Cape Ann Fisherman_s Tea Party,Cape Ann Brewing Company,Cape Ann Brewing Company,American Barleywine,Barley Wine,9.00%,9%
Kingpin Double Red Ale,Out of Bounds Relentless Double Red Ale,BridgePort Brewing Co. / Brewpub,Out of Bounds Brewing Company,American Amber / Red Ale,American Strong Ale,7.50%,8.20%
Harold The Red Ale,Off the Rail Raybuck Red Ale,Black Husky Brewing,Off the Rail Brewing,American Amber / Red Ale,Amber Ale,-,6.40%
Insane Mane Red Ale,White Lion Insane Mane Red Ale,White Lion Brewing Company,Ipswich Ale Brewery,American Amber / Red Ale,Amber Ale,5.10%,-
Willoughby American Amber Ale,Maldita Old Continent American Amber Ale,Willoughby Brewing,Faustino Microcervejeira,American Amber / Red Ale,Amber Ale,4.90%,6%
Old Guardian Barley Wine Style Ale - Bourbon Barrel Aged,Revolution Barrel Aged Institutionalized Barley Wine,Stone Brewing Co. .,Revolution Brewing Company,American Barleywine,Barley Wine,11.20%,13%
Pioneer American Red Ale,Fat Bottom Ruby Red American Ale,Pioneer Beer Company,Fat Bottom Brewery,American Amber / Red Ale,Amber Ale,5.70%,4.60%
Clifford The Big Red Ale,Big Choice Disconnected Red Ale,Books & Brews,Big Choice Brewing,American Amber / Red Ale,Amber Ale,6.80%,6.70%
Barrel Aged Chessie,Union Craft Chessie Barleywine Barrel Aged,Union Craft Brewing Company,Union Craft Brewing Company,American Barleywine,Barley Wine,9.80%,9.80%
Trail Ridge Red,Estes Park Trail Ridge Red,Grand Lake Brewing Company,Estes Park Brewery,American Amber / Red Ale,Bitter,7.50%,4.50%
Alaskan Imperial Red Ale ( Pilot Series ),Swamp Head Sciaenhops Imperial Red Ale,Alaskan Brewing Co. .,Swamp Head Brewery,American Amber / Red Ale,American Strong Ale,8.50%,8.30%
Alaskan Imperial Red Ale ( Pilot Series ),BottleTree Imperial Red Ale,Alaskan Brewing Co. .,Thomas Creek Brewery,American Amber / Red Ale,American Strong Ale,8.50%,7.50%
Summer Session Ale,Aqula Summer Session Ale,Elk Creek Cafe + Aleworks,Aqula,American Amber / Red Ale,English Pale Ale,4.20%,4.50%
Jurassic Duck Amber Ale ( dry Hopped With Mosaic ),Nighthawk 16-Hour Dry Hopped Amber,The Dodging Duck Brewhaus,Nighthawk Brewery,American Amber / Red Ale,Amber Ale,-,6.70%
O'Connor 's Irish Red Ale,Loose Shoe Sl_ ¡ inte Irish Red Ale,Wormtown Brewery,Loose Shoe Brewing Company,American Amber / Red Ale,Irish Ale,5.00%,5.50%
Winter Seasonal Amber Ale,Brewsters Winter WARMer Amber Ale,Dead Frog Brewing,Brewsters Brewing Co. - Alberta,American Amber / Red Ale,Amber Ale,5.00%,6%
Hawai'i Nui Sunset Amber Ale,Grand Canyon Sunset Amber Ale,Hawai'i Nui Brewing / Mehana Brewing Company,Grand Canyon Brewing Company,American Amber / Red Ale,Amber Ale,5.45%,5%
Copperhead Amber Ale,Yalobusha Copperhead Amber Ale,Yalobusha Brewing Company,Yalobusha Brewing Company,American Amber / Red Ale,Amber Ale,5.65%,5.60%
Dark Horse Amber Ale,Dark Horse Amber Ale,Dark Horse Brewing Company,Dark Horse Brewing Company,American Amber / Red Ale,Amber Ale,5.50%,5.50%
Red Emperor Amber Ale,Fox and Hound Red Fox Amber Ale,Fish Rock Brewery,Anheuser-Busch InBev,American Amber / Red Ale,Amber Ale,4.50%,5.10%
Strada S. Felice,Grado Plato Strada S. Felice,Grado Plato,Birrificio Grado Plato,American Amber / Red Ale,Spice/Herb/Vegetable,8.00%,8%
Sea Spray Amber Ale,Swashbuckler Red Sea Amber Ale,Bowen Island Brewing Co. Ltd. .,Swashbuckler Brewing Company,American Amber / Red Ale,Amber Ale,5.00%,-
Red Rose Amber Ale,Swashbuckler Red Sea Amber Ale,Baird Brewing Company / Fishmarket Taproom,Swashbuckler Brewing Company,American Amber / Red Ale,Amber Ale,5.40%,-
Beer Of The Dragon,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Beachwood BBQ & Brewing,Anderson Valley Brewing Company,American Amber / Red Ale,Barley Wine,9.10%,8.60%
Isle Of Pines Barley Wine,Anderson Valley Barrel Aged Horn of the Beer Barley Wine,Flying Goose Brew Pub & Grille,Anderson Valley Brewing Company,American Barleywine,Barley Wine,11.00%,8.60%
Frog Island Amber Ale,Heavy Seas Desert Island Series American Honey Amber Ale,Frog Island Brewing Company,Heavy Seas Brewing Company,American Amber / Red Ale,Amber Ale,6.00%,4.90%
Olde Richmond Batch No. 9 Red Ale,Engine House No. 9 Rowdy Dick Amber Ale,Olde Richmond Beer Company,Engine House No. 9 Restaurant and Brewery,American Amber / Red Ale,Amber Ale,-,5.30%
Unite Red Rye Ale,Pike Unite Red Rye Ale,The Pike Brewing Company,Pike Brewing Company,American Amber / Red Ale,Amber Ale,4.60%,4.60%
Fresh Hop Red,Ice Harbor Double Red Ale - Fresh Hop,Liquid Mechanics Brewing Co. .,Ice Harbor Brewing Company,American Amber / Red Ale,Amber Ale,7.40%,7%
Bulleit Bourbon Barrel Aged G'Knight,Figure Eight Bourbon Barrel Aged Jumbo Love,Oskar Blues Grill & Brew,Figure Eight Brewing,American Amber / Red Ale,Barley Wine,8.70%,-
Double Dragon Imperial Red Ale,Scuttlebutt Mateo Loco Imperial Red Ale,Phillips Brewing Company,Scuttlebutt Brewing Co. .,American Amber / Red Ale,American Strong Ale,8.20%,7.10%
Batch 200 _ `` Olympus Mons Imperial Red Ale,Scuttlebutt Mateo Loco Imperial Red Ale,Due South Brewing Co. .,Scuttlebutt Brewing Co. .,American Amber / Red Ale,American Strong Ale,9.20%,7.10%
Honey Basil Amber,Rude Hippo Honey Basil Amber,Rude Hippo Brewing Company,18th Street Brewery,American Amber / Red Ale,Amber Ale,7.40%,7.40%
Clifford 's Big Red Ale,Big Island Red Giant Ale,Funky Buddha Brewery,Big Island Brewhaus,American Amber / Red Ale,American Strong Ale,9.70%,6.50%
Clifford 's Big Red Ale,Big Time Lift Ticket American Red Ale,Funky Buddha Brewery,Big Time Brewery,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,9.70%,7%
Real McCoy Amber Ale,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Mammoth Brewing Company,American Amber / Red Ale,Altbier,4.50%,4.50%
Aqula American Amber Ale,Heavy Seas Desert Island Series American Honey Amber Ale,Bier Kaffee Aqula,Heavy Seas Brewing Company,American Amber / Red Ale,Amber Ale,4.50%,4.90%
Honey Amber Ale,Heavy Seas Desert Island Series American Honey Amber Ale,RJ Rockers Brewing Company,Heavy Seas Brewing Company,American Amber / Red Ale,Amber Ale,5.80%,4.90%
Rocket City Red,Sawdust City Red Rocket Coffee Spiced Stout,Straight To Ale,Sawdust City Brewing Company,American Amber / Red Ale,Spice/Herb/Vegetable,5.00%,5.20%
Jazz Beer Tarraco Amber,Jazz Beer Tarraco Amber,Tarraco Beer,Ca l_Arenys - Cervezas Guineu,American Amber / Red Ale,Amber Ale,6.90%,6.90%
Twisted Stick Amber Ale,Sick N Twisted Pleasure Victim Amber Ale,Portneuf Valley Brewing,Sick N Twisted Brewing Company,American Amber / Red Ale,Amber Ale,-,5.50%
Red Hopper ( Imperial Red Ale ),Brannon_s Deputation Imperial Red Ale,Black Acre Brewing Co. .,Brannon_s Pub and Brewery,American Amber / Red Ale,American Strong Ale,6.20%,8.79%
Smuttynose Kindest Find Imperial Red Ale,Brannon_s Deputation Imperial Red Ale,Smuttynose Brewing Company,Brannon_s Pub and Brewery,American Amber / Red Ale,American Strong Ale,8.50%,8.79%
Red Hopper ( Imperial Red Ale ),Kinetic Infrared Imperial Red Ale,Black Acre Brewing Co. .,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,6.20%,9.30%
BJ 's Imperial Red Ale,Kinetic Infrared Imperial Red Ale,BJ 's Restaurant & Brewhouse,Kinetic Brewing Company,American Amber / Red Ale,American Strong Ale,9.00%,9.30%
Red Racer India Style Red Ale,Heist American Style Red Ale,Central City Brewers + Distillers,Heist Brewery,American Amber / Red Ale,Amber Ale,5.60%,4.50%
Red Racer India Style Red Ale,GoodLife Redside India Red Ale,Central City Brewers + Distillers,GoodLife Brewing Company,American Amber / Red Ale,India Pale Ale &#40; IPA &#41;,5.60%,6%
Green Flash Hop Head Red Ale,Iron Horse Fresh Hop Imperial Red Ale,Green Flash Brewing Co. .,Iron Horse Brewery,American Amber / Red Ale,American Strong Ale,8.10%,-
Green Flash Hop Head Red Ale,Bagby Hop Crop Red Ale,Green Flash Brewing Co. .,Bagby Beer Company,American Amber / Red Ale,Amber Ale,8.10%,5.90%
Pike Old Bawdy Barley Wine,Bristol Old No. 23 Barley Wine,The Pike Brewing Company,Bristol Brewing Company,American Barleywine,Barley Wine,9.90%,11.25%
Three Sheets Barleywine ( Syrah Barrel Aged ),Tighthead Barrel Aged Old Kaya Dog Barleywine,Ballast Point Brewing Company,Tighthead Brewing Company,American Barleywine,Barley Wine,9.00%,10.30%
Red Rock Opie Red Ale,Council Rock Sleeping Lion Red Ale,Red Rock Brewing Company,Council Rock Brewery,American Amber / Red Ale,Irish Ale,4.00%,6%
Ruby Red American Ale,Black Shirt American India Red Ale,Fat Bottom Brewing,Black Shirt Brewing Company,American Amber / Red Ale,American Strong Ale,6.10%,7.09%
Ruby Red American Ale,Genesee Brew House American Red Ale,Fat Bottom Brewing,Genesee Brewing Company &#40; North American Breweries &#41;,American Amber / Red Ale,Amber Ale,6.10%,5%
Rock Bottom Red Ale,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom Restaurant & Brewery,Rock Bottom La Jolla,American Amber / Red Ale,Amber Ale,5.60%,5.40%
Hop Around Imperial Red Ale,Marble Imperial Red Ale,Big Bay Brewing Co. .,Marble Brewery,American Amber / Red Ale,American Strong Ale,9.00%,9%
Hop Around Imperial Red Ale,Kern River Dirty Hippie Imperial Red Ale,Big Bay Brewing Co. .,Kern River Brewing,American Amber / Red Ale,American Strong Ale,9.00%,8%
Blue Bridge Amber Dry Hopped,Winthrop Double Dry Hopped Amber,Galveston Island Brewing Company,Winthrop Brewing Company,American Amber / Red Ale,Amber Ale,6.00%,-
Arrow Point Amber,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Bainbridge Island Brewing Company,American Amber / Red Ale,Amber Ale,5.40%,5.40%
Bourbon Barrel Aged Horus Imperial Red,Lompoc Bourbon Barrel Aged Old Tavern Rat,Elevator Brewery & Draught Haus,Lompoc Brewing,American Amber / Red Ale,Barley Wine,12.00%,9.70%
Bourbon Barrel Aged Horus Imperial Red,Riverbend Barrel Aged Right Said Red,Elevator Brewery & Draught Haus,Riverbend Brewing & Sports Pub,American Amber / Red Ale,American Strong Ale,12.00%,9.20%
Lavery Imperial Red Ale,Laurelwood Organic Deranger Imperial Red Ale,Lavery Brewing Company,Laurelwood Public House & Brewery,American Amber / Red Ale,American Strong Ale,8.20%,8.60%
Lavery Imperial Red Ale,Ale Mania Imperial Red Ale,Lavery Brewing Company,Ale Mania &#40; Fritz Ale &#41;,American Amber / Red Ale,American Strong Ale,8.20%,9.50%
