ltable_Song_Name,rtable_Song_Name,ltable_Artist_Name,rtable_Artist_Name,ltable_Album_Name,rtable_Album_Name,ltable_Genre,rtable_Genre,ltable_Price,rtable_Price,ltable_CopyRight,rtable_CopyRight,ltable_Time,rtable_Time,ltable_Released,rtable_Released
"Son of Sam ( Bonus Track ) Shinedown Rock , Music , Metal , Alternative , Grunge , Hard Rock 3:37 23-Jun-08","Son Of Sam ( Bonus Track ) The Sound Of Madness [ Explicit ] [ Deluxe ] Rock $ 0.99 2005 Z Records 3:37 June 24 , 2008",,Shinedown,The Sound of Madness ( Deluxe Version ),,,,Album Only,,2008 Atlantic Recording Corp. for the United States and WEA International Inc. for the world outside of the United States,,,,,
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France,"Lift me up ( feat . Nico & Vinz , Ladysmith Black Mambazo ) Listen ( Deluxe ) Dance & Electronic",,David Guetta,One Love ( Deluxe Version ),,"Dance , Music",,,$1.29 ,,2015 If Moving Your Mine,02:51,03:58,21-Aug-09,24-Nov-14
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France,No Money no Love ( feat . Elliphant & Ms. Dynamite ) Dance & Electronic 3:57,,David Guetta,One Love ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music",,,$1.29 ,,2015 If Moving Your Mine,02:51,,21-Aug-09,24-Nov-14
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta $ 1.29,No Money no Love ( feat . Elliphant & Ms. Dynamite ) Dance & Electronic 3:57,,David Guetta,One Love ( Deluxe Version ),Listen ( Deluxe ),"Dance , Music",,,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,2015 If Moving Your Mine,02:51,,21-Aug-09,24-Nov-14
It Girl Jason Derulo $ 1.99 3:13,"It Girl Jason Derulo Pop ( C ) 2013 Hit Red Records under exclusive license to Capitol Records Nashville 3:12 September 16 , 2011",,,Future History ( Deluxe Version ),Future History ( Deluxe Version ),"Pop , Music , Rock , R&B / Soul , Contemporary R&B , Dance",,,$1.29 ,2011 Warner Bros. . Records Inc.,,,,16-Sep-11,
Who Dat Girl ( feat . Akon ) Flo Rida $ 1.29,"On and On ( Feat . Kevin Rudolf ) Only One Flo ( Part 1 ) [ Deluxe ] [ + Video ] [ + Digital Booklet ] Rap & Hip-Hop $ 1.29 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 2:58 November 26 , 2010",,Flo Rida,"Only One Flo , Pt. 1 ( Deluxe Version )",,"Hip-Hop/Rap , Music , Rap , Dirty South",,,,_ ã_ 2010 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,03:19,,26-Nov-10,
"Remember You ( feat . The Weeknd ) Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99","Initiation ( feat . Lola Monroe ) [ Explicit ] Wiz Khalifa O.N.I.F.C. [ Explicit ] $ 1.29 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 4:29 December 4 , 2012",Wiz Khalifa,,O.N.I.F.C. ( Deluxe Version ),,,Rap & Hip-Hop,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,05:20,,4-Dec-12,
"Remember You ( feat . The Weeknd ) Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap $ 1.99","Rise Above ( feat . Pharrell , Tuki Carter & Amber Rose ) [ Explicit ] December 4 , 2012",Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],,Rap & Hip-Hop,,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,04:31,4-Dec-12,
Remember You ( feat . The Weeknd ) Wiz Khalifa O.N.I.F.C. ( Deluxe Version ) 5:20,Medicated ( feat . Chevy Woods & Juicy J ) [ Explicit ] $ 1.29 5:31,,Wiz Khalifa,,O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.99 ,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,,4-Dec-12,4-Dec-12
Remember You ( feat . The Weeknd ) Wiz Khalifa $ 1.99 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 5:20 4-Dec-12,Medicated ( feat . Chevy Woods & Juicy J ) [ Explicit ] $ 1.29 5:31,,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,,,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,,,4-Dec-12
"Credit Meghan Trainor Pop , Music , Rock , Pop/Rock , Dance , Teen Pop 2014 , 2015 Epic Records , a division of Sony Music Entertainment 9-Jan-15","Credit Title ( Deluxe ) Pop 2011 What A Music Ltd , licence exclusive Parlophone Music France 2:51",,Meghan Trainor,Title ( Deluxe ),,,,$1.29 ,$1.29 ,,,02:51,,,9-Jan-15
"Whateva ( feat . Monty ) Fetty Wap Fetty Wap ( Deluxe ) Hip-Hop/Rap , Music , Rap Album Only 2015 300 Entertainment/RGF Productions","Time ( feat . Monty ) [ Clean ] $ 1.29 ( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves",,Fetty Wap,,Fetty Wap [ Clean ],,Rap & Hip-Hop,,,,,05:11,04:38,,25-Sep-15
Confess To Me ( feat . Jessie Ware ) Disclosure Settle ( Deluxe Version ) $ 1.29 4:10 15-Apr-14,"Omen [ feat . Sam Smith ] Disclosure $ 1.29 ( C ) 2015 Island Records , a division of Universal Music Operations Limited 3:50",,,,Caracal ( Deluxe ),"Electronic , Music","Electronica , Dance & Electronic",,,"_ ã_ 2014 Universal Island Records , a division of Universal Music Operations Limited",,,,,25-Sep-15
"Skrillex Orchestral Suite By Varien ( Bonus Track ) Bangarang Dance , Music , Electronic 2012 Big Beat Records , Inc. for the United States and WEA International for the world outside the United States . 6:54 27-Dec-11","Skrillex Orchestral Suite By Varien ( Bonus Track ) Dance & Electronic , Dubstep Elektroshok Records",Skrillex,Skrillex,,Bangarang EP [ Explicit ],,,$1.29 ,$1.29 ,,,,06:54,,27-Dec-11
"Any Man of Mine ( American Idol Performance ) Country , Music , Rock 3:40","( You Make Me Feel Like ) A Natural Woman ( American Idol Performance ) Lauren Alaina Country ( C ) 2011 19 Recordings , Inc.",Lauren Alaina,,American Idol Season 10 : Lauren Alaina,Lauren Alaina - American Idol Season 10,,,$1.29 ,$1.29 ,"2011 19 Recordings , Inc.",,,02:53,25-May-11,25-May-11
"Awooga ( Extended Mix ) Calvin Harris Bounce ( feat . Kelis ) [ Remixes ] Dance , Music 2013 Sony Music Entertainment UK Limited 5-Feb-13","Bounce ( Fly Eye Club Mix ) Dance & Electronic 6:06 February 5 , 2013",,Calvin Harris Feat . Kelis,,Bounce,,,$1.29 ,$1.29 ,,2015 Bill Maki,07:12,,,
"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] Dance , Music $ 1.29 21-Aug-09","Still Pimpin ' ( Album Version ( Explicit ) ) [ feat . Kamikazi ] [ Explicit ] Pop $ 0.99 ( C ) 2003 Universal Records , a Division of UMG Recordings , Inc. 7:11 May 20 , 2003",David Guetta,David Banner,One Love ( Deluxe Version ),Mississippi-The Album ( Explicit Version ),,,,,2010 Gum Prod licence exclusive Parlophone Music France,,02:51,,,
"The Breath You Take George Strait Album Only 2011 EMI MUSIC NORTH AMERICA / SONY MUSIC ENTERTAINMENT / UMG RECORDINGS , INC. 14-Jun-11",If You 're Thinking You Want A Stranger ( There 's One Coming Home ) Strait Country Country $ 1.29,,George Strait,"Now That 's What I Call Country , Vol . 4",,"Country , Music",,,,,( C ) 1981 MCA Records Inc.,03:34,02:57,,23-Sep-87
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] 2:51,One Love ( Feat . Estelle ) 4:01,David Guetta,David Guetta,One Love ( Deluxe Version ),One Love ( Deluxe Version ),"Dance , Music",Dance & Electronic,$1.29 ,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,,,21-Aug-09,21-Aug-09
True Colors ( feat . Nicki Minaj ) Blacc Hollywood,KK ( feat . Project Pat & Juicy J ) [ Explicit ] Wiz Khalifa Blacc Hollywood ( Deluxe ) [ Explicit ] Rap & Hip-Hop $ 1.29 4:09,Wiz Khalifa,,,,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",,$1.29 ,,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,04:15,,19-Aug-14,19-Aug-14
"Masterpiece ( feat . Jordan Rakei ) Disclosure Electronic , Music , Dance , Garage , House , Rock","Willing & Able [ feat . Kwabs ] Disclosure Caracal ( Deluxe ) ( C ) 2015 Island Records , a division of Universal Music Operations Limited 4:52",,,Caracal,,,"Electronica , Dance & Electronic",Album Only,$1.29 ,"2015 Island Records , a division of Universal Music Operations Limited",,04:01,,,25-Sep-15
Remember You ( feat . The Weeknd ) 4-Dec-12,"Hope ( feat . Ty Dolla $ ign ) [ Explicit ] 5:24 August 19 , 2014",Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),Blacc Hollywood ( Deluxe ) [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,05:20,,,
Remember You ( feat . The Weeknd ) 4-Dec-12,"The Bluff ( feat . Cam ` Ron ) [ Explicit ] Rap & Hip-Hop $ 1.29 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 3:48 December 4 , 2012",Wiz Khalifa,Wiz Khalifa,O.N.I.F.C. ( Deluxe Version ),O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , East Coast Rap , Hardcore Rap , Rap",,$1.99 ,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,05:20,,,
"Piensas en M ' _ ( feat . Luigi 21 Plus , Jory & Yelsid ) [ Remix ] Nicky Jam Hits 4:46 9-Sep-14","Piensas en M_ _ ( Remix ) International , Latin Music $ 0.99",Nicky Jam,Nicky Jam,,Nicky Jam Hits,"Latin Urban , Music , Latino",,$0.99 ,,2014 La Industria Inc. . Licencia a Codiscos S.A.S.,( C ) 2014 Codiscos S.A.S.,,04:46,,9-Sep-14
Baby ( Bonus Video ) _ ã_ 2010 The Island Def Jam Music Group,"Baby ( Acoustic Version ) ( C ) 2011 The Island Def Jam Music Group February 8 , 2011",Justin Bieber,Justin Bieber,My World 2.0 ( Bonus Track Version ),My Worlds Acoustic [ + Video ] [ + Digital Booklet ],"Pop , Music , Teen Pop , Rock , Dance , R&B / Soul , Contemporary R&B",Pop,$1.99 ,$1.29 ,,,03:39,03:35,23-Mar-10,
Sorry for Party Rocking Sorry for Party Rocking ( Deluxe Version ) $ 1.29 3:23,"Party Rock Anthem ( Made Famous By Lmfao Feat Lauren Bennett & Goon Rock ) ( Karaoke Version ) International $ 0.89 ( c ) 2011 BGM Industrias del Disco S.A. ( Magenta Discos ) July 14 , 2011",LMFAO,Lmfao Feat Lauren Bennett & Goon Rock Karaoke Band,,Party rock anthem ( Karaoke ),"Pop , Music , R&B / Soul,Electronic,Dance,Rock,Hip-Hop / Rap , Rap",,,,"_ ã_ 2011 Foo & Blu , LLC under exclusive License to Interscope Records",,,04:24,21-Jun-11,
"Centuries ( Gazzo Remix ) Centuries ( Gazzo Remix ) - Single Alternative , Music , Rock $ 1.29 4:19","Busy ( N3mrod Remix ) [ feat . Kevin Lyttle ] [ Explicit ] Busy ( N3mrod Remix ) [ feat . Kevin Lyttle ] [ Explicit ] Dance & Electronic $ 0.99 April 10 , 2015",Fall Out Boy,Boy Face,,,,,,,"2014 Island Records , a division of UMG Recordings , Inc.",2015 Perpetual Motions Ent . / F Pac Records/FROGG LIFE,,02:32,22-Dec-14,
"Speakers Sam Hunt Montevallo $ 1.29 2014 MCA Nashville , a Division of UMG Recordings , Inc.",Speakers Sam Hunt Montevallo Country $ 1.29 3:48,,,,,"Country , Music , Pop , Pop/Rock , Honky Tonk , Contemporary Country , Rock",,,,,"( C ) 2014 MCA Nashville , a Division of UMG Recordings , Inc.",03:46,,27-Oct-14,27-Oct-14
Cameras Wiz Khalifa Rolling Papers 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States 4:29,Cameras [ Clean ] Wiz Khalifa Rolling Papers ( Deluxe ) [ + Video ] [ + Digital Booklet ] Rap & Hip-Hop $ 1.29 2011 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,,,,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap",,$1.29 ,,,,,04:29,28-Mar-11,28-Mar-11
"Masterpiece ( feat . Jordan Rakei ) Disclosure Album Only 2015 Island Records , a division of Universal Music Operations Limited","Magnets [ feat . Lorde ] Disclosure Caracal $ 1.29 September 25 , 2015",,,Caracal,,"Electronic , Music , Dance , Garage , House , Rock","Electronica , Dance & Electronic",,,,"( C ) 2015 Island Records , a division of Universal Music Operations Limited",04:01,03:19,,
"Ca n't Stop Now ( feat . Jovi Rockwell and Mr. Vegas ) $ 1.29 _ ã_ 2009 Downtown Music , LLC . 4:03",Cash Flow [ feat . Jah Dan ] Guns Do n't Kill People ... Lazers Do ( Deluxe ) [ Explicit ],Major Lazer,Major Lazer,Guns Do n't Kill People ... Lazers Do,,"Electronic,Music,Hip-Hop / Rap , Rap , Alternative , Reggae , Dance , Modern Dancehall , Rock","Electronica , Dance & Electronic",,$1.29 ,,"( C ) 2009 Downtown Music , LLC .",,04:06,2009,3-Jun-15
"Ca n't Stop Now ( feat . Jovi Rockwell and Mr. Vegas ) $ 1.29 _ ã_ 2009 Downtown Music , LLC . 4:03","Hold The Line [ feat . Santigold ] [ Explicit ] Major Lazer June 3 , 2015",Major Lazer,,Guns Do n't Kill People ... Lazers Do,Guns Do n't Kill People ... Lazers Do ( Deluxe ) [ Explicit ],"Electronic,Music,Hip-Hop / Rap , Rap , Alternative , Reggae , Dance , Modern Dancehall , Rock","Electronica , Dance & Electronic",,$1.29 ,,"( C ) 2009 Downtown Music , LLC .",,03:39,2009,
Rock N ' Roll ( Will Take You to the Mountain ) Skrillex More Monsters and Sprites,"All I Ask Of You ( Feat . Penny ) Scary Monsters And Nice Sprites EP [ Explicit ] Electronica , Dance & Electronic , Dubstep ( c ) 2013 Digitop Ltd 5:40 December 21 , 2010",,Skrillex,,,"Dance , Music , House , Rock , Electronic",,$1.99 ,$1.29 ,"2011 Big Beat Records , Inc. for the United States and WEA International for the world outside the United States .",,04:34,,21-Jun-11,
"Titanium ( Cazzette 's Ant Seeking Hamster Mix ) [ feat . Sia ] Titanium ( Remixes ) [ feat . Sia ] 2011 What A Music Ltd , licence exclusive Parlophone Music France 6:37 20-Jan-12",Yao Ming ( feat . Wayne & 2 Chainz ) [ Explicit ] David Banner Rap & Hip-Hop $ 0.99 2013 b.i.G. f.a.c.e. Ent,David Guetta,,,Yao Ming ( feat . Wayne & 2 Chainz ) [ Explicit ],"Dance , Music , Electronic",,$0.99 ,,,,,03:47,,20-Dec-11
"Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] David Guetta Dance , Music 2:51 21-Aug-09","Dangerous ( feat . Sam Martin ) [ Robin Schulz Remix ] [ Radio Edit ] Listen ( Deluxe ) 2015 If Moving Your Mine 3:20 November 24 , 2014",,David Guetta,One Love ( Deluxe Version ),,,Dance & Electronic,$1.29 ,$1.29 ,2010 Gum Prod licence exclusive Parlophone Music France,,,,,
"Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Extended ] 4:42",Hey Mama ( Zia Moz Remix ) Hey Mama Dance & Electronic $ 0.99 3:12,David Guetta,"Zia Moz feat . David Guetta , Bebe Rexha , Nicki Minaj and Afrojack","Hey Mama ( feat . Nicki Minaj , Bebe Rexha & Afrojack ) [ Remixes ] - EP",,"Dance , Music",,$1.29 ,,"2015 What A Music Ltd. under exclusive license to Parlophone/Warner Music France , under exclusive license to Atlantic Recording Corporation for the United States","2015 Zia Moz , David Guetta , Onika Maraj , Giorgio Tuinfort , Nick van de Wall , Ester Dean , Bebe Rexha , Sean Douglas",,,12-May-15,1-Jun-15
6PM In New York If You 're Reading This It 's Too Late 13-Feb-15,"6PM In New York [ Explicit ] $ 1.29 February 13 , 2015",Drake,Drake,,If You 're Reading This It 's Too Late [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , Rap , R&B / Soul , Contemporary R&B",Rap & Hip-Hop,$1.29 ,,2015 Cash Money Records Inc.,( C ) 2015 Cash Money Records Inc.,04:43,04:43,,
"Chevy Van Caldwell County - EP Country , Music , Contemporary Country 2:48","Chevy Van Caldwell County EP ( C ) 2011 EMI Records Nashville January 14 , 2011",Eric Church,Eric Church,,,,Country,$1.29 ,$1.29 ,"2011 EMI Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",,,02:48,14-Jan-11,
Delirious ( feat . Tara McDonald ) _ ã_ 2007 Gum Records 4:31,"One Love ( Feat . Estelle ) David Guetta One Love ( Deluxe Version ) $ 1.29 August 21 , 2009",David Guetta,,Pop Life ( Extended Version ) [ Bonus Version ],,"Dance , Music , Rock , Pop , House , Electronic , Electronica , Adult Alternative",Dance & Electronic,$1.29 ,,,( C ) 2014 Swedish House Mafia Holdings Ltd ( BVI ) under exclusive license to Virgin Records Ltd,,04:01,18-Sep-07,
"If I Am a Stranger ( Live In Amsterdam ) Singer/Songwriter , Music , Rock 2012 PAXAM RECORDS 2-Jul-12","The Rescue Blues ( Live in London 1 ) $ 0.99 2012 PAXAM RECORDS 3:25 July 2 , 2012",Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],Live After Deaf ( Collection ),,"Folk , Rock",$0.99 ,,,,05:10,,,
"If I Am a Stranger ( Live In Amsterdam ) Singer/Songwriter , Music , Rock 2012 PAXAM RECORDS 2-Jul-12",Do I Wait ( Live in Lisbon Bonus Track ) Live After Deaf ( Collection ) 5:08,Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],,,"Folk , Rock",$0.99 ,$0.99 ,,2012 PAXAM RECORDS,05:10,,,2-Jul-12
"If I Am a Stranger ( Live In Amsterdam ) Singer/Songwriter , Music , Rock 2012 PAXAM RECORDS 2-Jul-12","September ( Live in Stockholm ) Live After Deaf ( Stockholm ) Folk , Rock $ 0.99 2012 PAXAM RECORDS July 2 , 2012",Ryan Adams,Ryan Adams,Live After Deaf ( Live ) [ Complete Collection ],,,,$0.99 ,,,,05:10,02:43,,
Remember You ( feat . The Weeknd ) 5:20 4-Dec-12,"Bluffin ( feat . Berner ) [ Explicit ] Wiz Khalifa O.N.I.F.C. [ Explicit ] Rap & Hip-Hop $ 1.29 December 4 , 2012",Wiz Khalifa,,O.N.I.F.C. ( Deluxe Version ),,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",,$1.99 ,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,05:32,,
That Ai n't Me ( feat . Jay Sean ) I Am Not a Human Being $ 1.29 4:02 15-Nov-10,"Love Me ( Album Version ( Explicit ) ) [ feat . Drake ] [ Explicit ] Lil Wayne I Am Not A Human Being II ( Explicit Version ) [ + digital booklet ] $ 1.29 2005 Secretly Canadian 4:15 March 26 , 2013",Lil Wayne & Jay Sean,,,,"Hip-Hop/Rap , Music , Rap , Hardcore Rap , Dirty South",Rap & Hip-Hop,,,_ ã_ 2010 Cash Money Records Inc.,,,,,
Toyfriend ( feat . Wynter Gordon ) [ Continuous Mix Version ] $ 1.29 2010 Gum Prod licence exclusive Parlophone Music France 2:51 21-Aug-09,"Phone Tap ( Album Version ( Explicit ) ) [ Explicit ] David Banner Mississippi-The Album ( Explicit Version ) May 20 , 2003",David Guetta,,One Love ( Deluxe Version ),,"Dance , Music",Pop,,$0.69 ,,"( C ) 2003 Universal Records , a Division of UMG Recordings , Inc.",,01:52,,
Remember You ( feat . The Weeknd ) Wiz Khalifa O.N.I.F.C. ( Deluxe Version ) 4-Dec-12,"The Plan ( feat . Juicy J ) [ Explicit ] Rap & Hip-Hop $ 1.29 2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States December 4 , 2012",,Wiz Khalifa,,O.N.I.F.C. [ Explicit ],"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",,$1.99 ,,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,,05:20,04:54,,
Remember You ( feat . The Weeknd ) Wiz Khalifa O.N.I.F.C. ( Deluxe Version ) 4-Dec-12,The Bluff ( feat . Cam ` Ron ) [ Explicit ] Wiz Khalifa O.N.I.F.C. [ Explicit ] 3:48,,,,,"Hip-Hop/Rap , Music , Hardcore Rap , East Coast Rap , Rap",Rap & Hip-Hop,$1.99 ,$1.29 ,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,2012 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States,05:20,,,4-Dec-12
Voices ( feat . Sasha Keable ) Disclosure,"Help Me Lose My Mind [ feat . London Grammar ] Disclosure Electronica , Dance & Electronic $ 1.29",,,Settle ( Deluxe Version ),Settle,"Electronic , Music",,$1.29 ,,"_ ã_ 2014 Universal Island Records , a division of Universal Music Operations Limited","( C ) 2013 Universal Island Records , a division of Universal Music Operations Limited",04:09,04:05,15-Apr-14,11-Jun-13
"Space Bound Hip-Hop/Rap , Music , Rock , Hardcore Rap , Rap $ 1.29 4:38 21-Jun-10","Space Bound [ Explicit ] Recovery ( Amazon Version ) [ Explicit ] [ + video ] [ + digital booklet ] Gangsta & Hardcore , Rap & Hip-Hop $ 1.29 ( C ) 2010 Aftermath Records June 21 , 2010",Eminem,Eminem,Recovery ( Deluxe Edition ),,,,,,_ ã_ 2010 Aftermath Records,,,04:39,,
We Dem Boyz Blacc Hollywood ( Deluxe Version ) $ 1.99 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 3:56,We Dem Boyz [ Explicit ] $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,Wiz Khalifa,Wiz Khalifa,,Blacc Hollywood [ Explicit ],"Hip-Hop/Rap , Music , Rap , Hardcore Rap , East Coast Rap , Rock",Rap & Hip-Hop,,,,,,03:45,19-Aug-14,19-Aug-14
Whateva ( feat . Monty ) 2015 300 Entertainment/RGF Productions 5:11,"How We Do Things ( feat . Monty ) [ Explicit ] Rap & Hip-Hop $ 1.29 ( C ) 2000 Mute Records Ltd. , a BMG Company , under exclusive license to INgrooves September 25 , 2015",Fetty Wap,Fetty Wap,Fetty Wap ( Deluxe ),Fetty Wap [ Explicit ],"Hip-Hop/Rap , Music , Rap",,Album Only,,,,,03:31,,
"VHS Outro ( Interlude ) Alternative , Music , Rock , Adult Alternative $ 1.29 2015 KIDinaKORNER/Interscope Records 1:25",Adam & Noah 's Priorities ( Interlude ) VHS [ Explicit ],X Ambassadors,X Ambassadors,VHS,,,Alternative Rock,,$1.29 ,,( C ) 2015 KIDinaKORNER/Interscope Records,,00:27,30-Jun-15,30-Jun-15
True Colors ( feat . Nicki Minaj ) Blacc Hollywood $ 1.29 2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company 4:15,"So High ( feat . Ghost Loft ) [ Explicit ] Wiz Khalifa Blacc Hollywood [ Explicit ] $ 1.29 4:09 August 19 , 2014",Wiz Khalifa,,,,"Hip-Hop/Rap , Music , Rap , East Coast Rap , Hardcore Rap , Rock",Rap & Hip-Hop,,,,2014 Atlantic Recording Corporation for the United States and WEA International Inc. for the world outside of the United States . A Warner Music Group Company,,,19-Aug-14,
"Defeated No More ( feat . Edward Macfarlane ) Settle ( Deluxe Version ) Electronic , Music 15-Apr-14","Magnets [ feat . Lorde ] Caracal ( Deluxe ) Electronica , Dance & Electronic $ 1.29 ( C ) 2015 Island Records , a division of Universal Music Operations Limited 3:19 September 25 , 2015",Disclosure,Disclosure,,,,,$1.29 ,,"_ ã_ 2014 Universal Island Records , a division of Universal Music Operations Limited",,06:07,,,
"G.U.Y. Pop , Music , Dance , Rock $ 1.29 _ ã_ 2013 Interscope Records 3:52 11-Nov-13",G.U.Y. [ Clean ] $ 1.29,Lady Gaga,Lady Gaga,ARTPOP,Artpop [ Clean ],,Pop,,,,( C ) 2013 Interscope Records,,03:52,,11-Nov-13
"Fly from the Inside ( Live Acoustic from WXDX , Pittsburgh ) Shinedown Leave a Whisper ( Deluxe Version ) Rock , Music , Hard Rock , Alternative $ 1.29 2009 Atlantic Recording Corporation for the United States and WEA International for the world outside of the United States",Simple Man [ Acoustic ] Leave A Whisper ( Deluxe ) Rock 5:20,,Shinedown,,,,,,$1.29 ,,2015 Mad Decent,03:59,,27-May-03,27-May-03
Applause ( Goldhouse Remix ) Applause ( Remixes ) $ 1.29 2013 Interscope Records 30-Sep-13,"Applause ( Empire Of The Sun Remix ) Lady Gaga Applause ( Remixes ) $ 1.29 ( C ) 2013 Interscope Records September 30 , 2013",Lady Gaga,,,,"Pop , Music , Electronic , Rock",Pop,,,,,04:34,04:08,,
Tackle Box Luke Bryan,"Tackle Box Luke Bryan I 'll Stay Me Country ( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",,,I 'll Stay Me,,"Country , Music , Contemporary Country , Pop",,$1.29 ,$1.29 ,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",,04:02,04:02,14-Aug-07,14-Aug-07
Tackle Box $ 1.29 14-Aug-07,"Tackle Box Luke Bryan I 'll Stay Me Country ( C ) 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nash",Luke Bryan,,I 'll Stay Me,,"Country , Music , Contemporary Country , Pop",,,$1.29 ,"2006 , 2007 Capitol Records Nashville . All rights reserved . Unauthorized reproduction is a violation of applicable laws . Manufactured by Capitol Records Nashville , 3322 West End Avenue , 11th Floor , Nashville , TN 37203",,04:02,04:02,,14-Aug-07
